step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
21,1786708746.3879,1786708746.3936,0.03341,1.8462,-96.0440,96.9670,76.2198,-84.5275,2.5132,1.4712,-96.5955,97.4165,76.1875,-84.8663,2.5768,1.4712,-96.5955,97.4165,76.1875,-84.8663,2.5768,0,50,0,0,0,0,0
22,1786708746.4212,1786708746.4263,0.03332,1.7582,-95.9560,96.9670,76.2198,-84.5275,2.5132,1.5733,-95.6143,96.6093,76.5761,-84.6826,2.5380,1.5733,-95.6143,96.6093,76.5761,-84.6826,2.5380,-50,0,0,0,0,0,0
23,1786708746.4546,1786708746.4597,0.03338,1.7582,-96.3077,96.9670,76.2198,-84.5275,2.5132,1.6430,-96.1167,97.5583,77.0997,-84.2264,2.4605,1.6430,-96.1167,97.5583,77.0997,-84.2264,2.4605,0,-100,0,0,0,0,0
24,1786708746.488,1786708746.4929,0.03338,1.7582,-96.3077,96.8791,76.2198,-84.5275,2.5132,2.0048,-96.3702,97.0334,76.5074,-85.1992,2.5687,2.0048,-96.3702,97.0334,76.5074,-85.1992,2.5687,0,0,0,0,0,0,0
25,1786708746.5214,1786708746.5261,0.03339,1.7582,-96.3956,96.8791,76.4835,-84.5275,2.5132,1.9086,-96.0424,97.4997,76.8119,-84.5696,2.5516,1.9086,-96.0424,97.4997,76.8119,-84.5696,2.5516,0,-50,0,100,0,0,0
26,1786708746.5549,1786708746.5604,0.03347,1.7582,-96.3956,96.8791,76.4835,-84.6154,2.5132,1.7601,-96.7408,97.2907,77.0522,-84.8254,2.5761,1.7601,-96.7408,97.2907,77.0522,-84.8254,2.5761,0,0,0,0,0,0,0
27,1786708746.5883,1786708746.5937,0.03343,1.7582,-96.3956,96.9670,76.4835,-84.8791,2.5132,1.5059,-96.3409,97.2387,76.4171,-84.9998,2.5369,1.5059,-96.3409,97.2387,76.4171,-84.9998,2.5369,0,0,50,0,-150,0,0
28,1786708746.6217,1786708746.6269,0.03335,1.7582,-96.3956,96.9670,76.5714,-84.8791,2.5132,1.5374,-95.7190,95.2659,77.7955,-84.9255,2.5330,1.5374,-95.7190,95.2659,77.7955,-84.9255,2.5330,0,0,0,50,0,0,0
29,1786708746.655,1786708746.6599,0.03336,1.7582,-96.3956,96.9670,76.5714,-84.8791,2.5132,1.9565,-94.7264,92.4579,79.3759,-83.8360,2.5511,1.9565,-94.7264,92.4579,79.3759,-83.8360,2.5511,0,0,0,0,0,0,0
30,1786708746.6884,1786708746.6937,0.03336,1.7582,-96.3956,96.7912,76.7473,-84.8791,2.5132,1.4856,-93.2007,86.0131,80.2892,-80.0854,2.5124,1.4856,-93.2007,86.6154,80.2892,-80.0854,2.5124,0,0,0,50,0,0,0
31,1786708746.7218,1786708746.7265,0.03339,1.7582,-96.1319,95.4725,77.6264,-84.7033,2.5132,1.2840,-94.9986,90.9571,79.2500,-82.4868,2.6135,1.2840,-94.9986,90.9571,79.2500,-82.4868,2.6135,0,50,-450,300,100,0,0
32,1786708746.7552,1786708746.76,0.03344,1.6703,-95.2527,93.7143,78.9451,-83.4725,2.5132,1.5371,-96.1154,95.9600,77.9661,-84.0224,2.4858,1.5371,-96.1154,95.9600,77.9661,-84.0224,2.4858,-50,300,-650,500,300,0,0
33,1786708746.7886,1786708746.794,0.03336,1.7582,-94.3736,91.6044,78.8571,-82.0659,2.5132,1.4830,-96.3875,97.3401,77.3638,-84.7697,2.5721,1.4830,-96.3875,97.3401,77.3638,-84.7697,2.5721,50,200,-700,0,500,0,0
34,1786708746.822,1786708746.8274,0.03345,1.7582,-95.1648,90.6374,78.3297,-81.8901,2.5132,1.5464,-96.0766,96.8781,76.9993,-84.5248,2.5330,1.5464,-96.0766,96.8781,76.9993,-84.5248,2.5330,0,-150,-450,-200,50,0,0
35,1786708746.8554,1786708746.8597,0.03335,1.7582,-96.0440,90.9890,77.9780,-82.9451,2.5132,1.9094,-95.5525,96.9850,76.9621,-84.6539,2.5324,1.9094,-95.5525,96.9850,76.9621,-84.6539,2.5324,0,-250,150,-50,-250,0,0
36,1786708746.8888,1786708746.893,0.03338,1.7582,-96.1319,92.8352,77.4505,-84.0000,2.5132,1.4210,-96.2563,97.2815,76.7748,-85.1028,2.5770,1.4210,-96.2563,97.2815,76.7748,-85.1028,2.5770,0,-50,650,-200,-400,0,0
37,1786708746.9222,1786708746.9264,0.03341,1.8462,-96.0440,94.9451,77.5385,-84.2637,2.5132,1.6574,-95.3274,96.6644,77.4318,-84.4278,2.5746,1.6574,-95.3274,96.6644,77.4318,-84.4278,2.5746,0,0,800,100,-100,0,0
38,1786708746.9555,1786708746.9597,0.03337,2.0220,-96.2198,95.7363,77.5385,-84.4396,2.5132,1.6784,-95.5887,97.1269,77.3869,-84.5902,2.5508,1.6784,-95.5887,97.1269,77.3869,-84.5902,2.5508,50,-100,300,-150,50,0,0
39,1786708746.989,1786708746.9933,0.03344,2.0220,-96.0440,95.8242,77.2747,-84.3516,2.5132,1.6272,-95.7166,97.2234,76.4141,-84.8593,2.6498,1.6272,-95.7166,97.2234,76.4141,-84.8593,2.6498,0,100,50,-50,0,0,0
40,1786708747.0224,1786708747.0266,0.03338,2.0220,-96.0440,96.0000,77.2747,-84.4396,2.5132,1.6233,-96.9242,93.5454,78.5938,-84.2970,2.4295,1.6233,-96.9242,93.5454,78.5938,-84.2970,2.4295,0,0,50,0,-50,0,0
41,1786708747.0557,1786708747.0603,0.03338,2.0220,-96.0440,96.2637,77.2747,-84.6154,2.5132,1.9898,-96.0760,84.2785,82.4116,-82.0786,2.4288,1.9898,-96.0760,86.2637,82.4116,-82.0786,2.4288,0,0,100,0,-50,0,0
42,1786708747.0892,1786708747.0946,0.03349,2.0220,-96.3956,96.1758,77.3626,-84.5275,2.5132,1.6148,-95.7447,81.5061,83.2598,-78.9801,2.3654,1.6148,-95.7447,86.0879,83.2598,-78.9801,2.3654,0,-150,-50,-50,50,0,0
43,1786708747.123,1786708747.1284,0.03378,2.1099,-96.5714,94.6813,78.6813,-83.8242,2.5132,1.4015,-94.3667,80.9889,84.7559,-81.1641,2.6030,1.4015,-94.3667,84.3297,84.7559,-81.1641,2.6030,50,0,-450,450,200,0,0
44,1786708747.156,1786708747.161,0.03296,1.9341,-95.8681,92.2198,80.5275,-82.0659,2.5132,2.9234,-90.6949,72.6248,88.8809,-77.5126,2.3440,2.9234,-90.6949,81.7802,88.8809,-77.5126,2.3440,-50,150,-850,600,550,0,0
45,1786708747.1893,1786708747.1945,0.03336,1.5824,-95.8681,89.7582,82.1099,-80.5714,2.5132,3.3968,-79.0410,61.1028,90.3124,-72.3358,2.3423,3.3968,-85.7802,79.4945,90.3124,-72.3358,2.3423,-150,-100,-750,500,550,0,0
46,1786708747.2227,1786708747.2278,0.03339,1.7582,-94.5495,87.3846,83.6044,-79.6044,2.5132,4.9258,-71.5293,52.5994,93.2490,-65.9167,2.3809,4.9258,-84.1978,76.9451,93.2490,-69.3407,2.3809,-50,550,-800,450,350,0,0
47,1786708747.2562,1786708747.2613,0.03346,2.9011,-92.0000,84.5714,85.7143,-77.6703,2.5132,6.7645,-61.9797,43.8222,94.8824,-61.3483,2.4891,6.7645,-81.5604,74.2198,94.8824,-67.3187,2.4891,300,700,-900,800,700,0,0
48,1786708747.2896,1786708747.2956,0.0334,3.5165,-89.2747,82.1978,88.1758,-75.2088,2.5132,9.6992,-54.5734,38.2165,95.1315,-54.2765,2.5338,9.6992,-78.8352,71.8462,95.1315,-64.5934,2.5338,250,900,-750,900,800,0,0
