step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787660293.1162,1787660293.1305,0.04191,-0.121184,-0.510816,2.893088,0.280718,0.047553,-0.024544,-0.131126,-0.473611,2.897170,0.275898,0.091160,0.005130,-0.131100,-0.473600,2.897200,0.275900,0.091200,0.005100,,,,,,,1
1,1787660293.1661,1787660293.1796,0.04993,-0.121184,-0.510816,2.893088,0.280718,0.047553,-0.024544,-0.124308,-0.474063,2.820348,0.270258,0.095712,-0.000357,-0.124300,-0.474100,2.820300,0.270300,0.095700,-0.000400,,,,,,,1
2,1787660293.2329,1787660293.2476,0.06678,-0.121184,-0.510816,2.893088,0.279185,0.047553,0.003068,-0.129508,-0.468965,2.814154,0.273383,0.103527,0.002867,-0.129500,-0.469000,2.814200,0.273400,0.103500,0.002900,,,,,,,0
3,1787660293.2999,1787660293.3145,0.06701,-0.121184,-0.487806,2.896156,0.271515,0.079767,0.003068,-0.134688,-0.468642,2.916700,0.276717,0.095608,0.000683,-0.134700,-0.468600,2.916700,0.276700,0.095600,0.000700,,,,,,,0
4,1787660293.3385,1787660293.3525,0.03859,-0.121184,-0.472466,2.883884,0.279185,0.092039,0.003068,-0.134536,-0.469136,2.947142,0.279088,0.089638,-0.002296,-0.134500,-0.469100,2.947100,0.279100,0.089600,-0.002300,,,,,,,0
5,1787660293.3965,1787660293.4126,0.05805,-0.121184,-0.469398,2.847068,0.279185,0.099709,0.004602,-0.131612,-0.462854,2.905122,0.270529,0.075623,0.001104,-0.131600,-0.462900,2.905100,0.270500,0.075600,0.001100,,,,,,,0
6,1787660293.4629,1787660293.4775,0.06635,-0.125786,-0.466330,2.828661,0.279185,0.099709,0.004602,-0.132143,-0.473296,2.874411,0.269734,0.089196,0.008148,-0.132100,-0.473300,2.874400,0.269700,0.089200,0.008100,,,,,,,0
7,1787660293.5012,1787660293.5145,0.03833,-0.125786,-0.466330,2.834796,0.279185,0.093573,0.004602,-0.126975,-0.478361,2.791756,0.270312,0.088063,0.010175,-0.127000,-0.478400,2.791800,0.270300,0.088100,0.010200,,,,,,,0
8,1787660293.5595,1787660293.5744,0.05832,-0.125786,-0.460194,2.867010,0.271515,0.084369,0.004602,-0.129278,-0.477155,2.842168,0.270053,0.086989,0.005638,-0.129300,-0.477200,2.842200,0.270100,0.087000,0.005600,,,,,,,0
9,1787660293.626,1787660293.6405,0.06652,-0.125786,-0.461728,2.896156,0.265379,0.084369,0.010738,-0.125755,-0.475858,2.717249,0.270086,0.076853,0.010703,-0.125800,-0.475900,2.717200,0.270100,0.076900,0.010700,,,,,,,0
10,1787660293.6654,1787660293.6805,0.03933,-0.125786,-0.461728,2.897690,0.265379,0.085903,0.004602,-0.126398,-0.473177,2.677397,0.271514,0.088530,0.009982,-0.126400,-0.473200,2.677400,0.271500,0.088500,0.010000,,,,,,,0
11,1787660293.7225,1787660293.7354,0.05712,-0.125786,-0.461728,2.885418,0.273049,0.085903,0.004602,-0.125509,-0.463398,2.633970,0.267568,0.087036,0.017673,-0.125500,-0.463400,2.634000,0.267600,0.087000,0.017700,,,,,,,0
12,1787660293.7888,1787660293.8034,0.06627,-0.125786,-0.461728,2.830195,0.274583,0.085903,0.004602,-0.134326,-0.467322,2.620217,0.281575,0.064896,0.019218,-0.134300,-0.467300,2.620200,0.281600,0.064900,0.019200,,,,,,,1
13,1787660293.828,1787660293.8414,0.03926,-0.125786,-0.461728,2.787243,0.274583,0.085903,0.012272,-0.139163,-0.457086,2.587441,0.272070,0.098724,0.022482,-0.139200,-0.457100,2.587400,0.272100,0.098700,0.022500,,,,,,,1
14,1787660293.8855,1787660293.9014,0.05752,-0.125786,-0.461728,2.713612,0.273049,0.085903,0.013806,-0.148989,-0.456523,2.552335,0.273890,0.076660,0.024267,-0.149000,-0.456500,2.552300,0.273900,0.076700,0.024300,,,,,,,0
15,1787660293.9518,1787660293.9676,0.06623,-0.128854,-0.458660,2.652253,0.277651,0.079767,0.018408,-0.221789,-0.434304,2.427028,0.284044,0.078783,0.044959,-0.221800,-0.434300,2.427000,0.284000,0.078800,0.045000,,,,,,,1
16,1787660294.007,1787660294.0207,0.05524,-0.133456,-0.450990,2.610835,0.276117,0.079767,0.018408,-0.202045,-0.431826,2.428862,0.283918,0.094258,0.039721,-0.202000,-0.431800,2.428900,0.283900,0.094300,0.039700,,,,,,,1
17,1787660294.0462,1787660294.0605,0.03916,-0.139592,-0.450990,2.587826,0.276117,0.079767,0.030680,-0.244865,-0.415139,2.398983,0.276256,0.083288,0.052419,-0.244900,-0.415100,2.399000,0.276300,0.083300,0.052400,,,,,,,0
18,1787660294.1019,1787660294.1167,0.05573,-0.159534,-0.435651,2.543340,0.277651,0.079767,0.041417,-0.289356,-0.407671,2.381368,0.284552,0.086728,0.071824,-0.289400,-0.407700,2.381400,0.284600,0.086700,0.071800,,,,,,,0
19,1787660294.141,1787660294.1556,0.03913,-0.177942,-0.426447,2.504991,0.277651,0.082835,0.046019,-0.363165,-0.386754,2.346527,0.294084,0.107994,0.085605,-0.363200,-0.386800,2.346500,0.294100,0.108000,0.085600,,,,,,,0
20,1787660294.2032,1787660294.2177,0.06215,-0.217825,-0.412641,2.446699,0.277651,0.088971,0.062893,-0.389622,-0.375418,2.331658,0.294000,0.107216,0.107054,-0.389600,-0.375400,2.331700,0.294000,0.107200,0.107100,,,,,,,0
21,1787660294.2678,1787660294.2817,0.06465,-0.271515,-0.394233,2.400680,0.288388,0.095107,0.081301,-0.403900,-0.364202,2.320517,0.297052,0.118079,0.102053,-0.403900,-0.364200,2.320500,0.297100,0.118100,0.102100,,,,,,,0
22,1787660294.3048,1787660294.3196,0.03698,-0.308330,-0.383495,2.379204,0.289922,0.104311,0.093573,-0.464900,-0.357294,2.300501,0.303043,0.122421,0.106788,-0.464900,-0.357300,2.300500,0.303000,0.122400,0.106800,,,,,,,0
23,1787660294.3566,1787660294.3714,0.05179,-0.351282,-0.371223,2.354661,0.289922,0.107379,0.104311,-0.488741,-0.333337,2.305247,0.320317,0.137163,0.161155,-0.488700,-0.333300,2.305200,0.320300,0.137200,0.161200,,,,,,,0
24,1787660294.423,1787660294.4364,0.06638,-0.394233,-0.358952,2.334719,0.299126,0.119651,0.104311,-0.534149,-0.320561,2.306893,0.323858,0.121697,0.222232,-0.534100,-0.320600,2.306900,0.323900,0.121700,0.222200,,,,,,,0
25,1787660294.462,1787660294.4766,0.03906,-0.421845,-0.352816,2.323981,0.300660,0.121184,0.116583,-0.579277,-0.308230,2.303946,0.336284,0.165527,0.244539,-0.579300,-0.308200,2.303900,0.336300,0.165500,0.244500,,,,,,,0
26,1787660294.518,1787660294.5326,0.05594,-0.466330,-0.334408,2.323981,0.316000,0.133456,0.177942,-0.612261,-0.273775,2.309707,0.347989,0.159624,0.354569,-0.612300,-0.273800,2.309700,0.348000,0.159600,0.354600,,,,,,,0
27,1787660294.5561,1787660294.5704,0.03811,-0.490874,-0.319068,2.323981,0.320602,0.133456,0.237767,-0.636605,-0.246873,2.304144,0.343552,0.173271,0.430852,-0.636600,-0.246900,2.304100,0.343600,0.173300,0.430900,,,,,,,0
28,1787660294.6076,1787660294.6226,0.05152,-0.532291,-0.303728,2.322447,0.331340,0.134990,0.245437,-0.669440,-0.222091,2.306289,0.347973,0.205747,0.525454,-0.669400,-0.222100,2.306300,0.348000,0.205700,0.525500,,,,,,,0
29,1787660294.6738,1787660294.6885,0.0662,-0.585981,-0.288388,2.322447,0.339010,0.161068,0.397301,-0.723024,-0.213624,2.316768,0.336977,0.237546,0.548204,-0.723000,-0.213600,2.316800,0.337000,0.237500,0.548200,,,,,,,0
30,1787660294.7106,1787660294.7265,0.0368,-0.608990,-0.265379,2.322447,0.340544,0.171806,0.470932,-0.743283,-0.199810,2.305571,0.331340,0.277392,0.584189,-0.743300,-0.199800,2.305600,0.331300,0.277400,0.584200,,,,,,,0
31,1787660294.7627,1787660294.7776,0.05214,-0.642738,-0.228563,2.322447,0.343612,0.193282,0.527689,-0.762345,-0.181481,2.299057,0.335106,0.313525,0.599187,-0.762300,-0.181500,2.299100,0.335100,0.313500,0.599200,,,,,,,1
