step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787660171.7695,1787660171.7846,0.06262,-0.141126,-0.558369,2.883884,0.296058,0.035282,-0.026078,-0.150163,-0.524764,2.981248,0.295907,0.061830,-0.014396,-0.150200,-0.524800,2.981200,0.295900,0.061800,-0.014400,,,,,,,1
1,1787660171.8064,1787660171.8204,0.03688,-0.141126,-0.558369,2.883884,0.296058,0.035282,-0.026078,-0.149945,-0.527724,2.982619,0.301166,0.072076,-0.017055,-0.149900,-0.527700,2.982600,0.301200,0.072100,-0.017100,,,,,,,1
2,1787660171.8578,1787660171.8727,0.05136,-0.141126,-0.558369,2.883884,0.296058,0.035282,-0.026078,-0.153606,-0.525804,2.979221,0.296997,0.069860,-0.017429,-0.153600,-0.525800,2.979200,0.297000,0.069900,-0.017400,,,,,,,0
3,1787660171.9244,1787660171.9386,0.06662,-0.141126,-0.558369,2.883884,0.296058,0.044485,-0.018408,-0.151123,-0.530107,2.987961,0.290597,0.075868,-0.019785,-0.151100,-0.530100,2.988000,0.290600,0.075900,-0.019800,,,,,,,0
4,1787660171.9616,1787660171.9766,0.03717,-0.141126,-0.544563,2.900758,0.292990,0.067495,-0.015340,-0.149412,-0.527798,2.981298,0.294793,0.066587,-0.017542,-0.149400,-0.527800,2.981300,0.294800,0.066600,-0.017500,,,,,,,0
5,1787660172.013,1787660172.0276,0.05138,-0.144194,-0.526155,2.917631,0.289922,0.072097,-0.010738,-0.150313,-0.531099,2.953062,0.294774,0.077876,-0.019076,-0.150300,-0.531100,2.953100,0.294800,0.077900,-0.019100,,,,,,,0
6,1787660172.0796,1787660172.0946,0.06661,-0.144194,-0.526155,2.922233,0.282252,0.072097,-0.010738,-0.153195,-0.524736,2.958424,0.302894,0.067688,-0.019119,-0.153200,-0.524700,2.958400,0.302900,0.067700,-0.019100,,,,,,,0
7,1787660172.1165,1787660172.1316,0.03688,-0.144194,-0.526155,2.922233,0.282252,0.072097,-0.010738,-0.154893,-0.524818,2.938868,0.292830,0.080278,-0.020129,-0.154900,-0.524800,2.938900,0.292800,0.080300,-0.020100,,,,,,,0
8,1787660172.1681,1787660172.1816,0.05163,-0.144194,-0.526155,2.922233,0.282252,0.073631,-0.010738,-0.153721,-0.526226,2.884201,0.294090,0.084931,-0.018693,-0.153700,-0.526200,2.884200,0.294100,0.084900,-0.018700,,,,,,,0
9,1787660172.2347,1787660172.2495,0.06664,-0.144194,-0.521553,2.922233,0.282252,0.073631,-0.010738,-0.155115,-0.531866,2.947317,0.293850,0.083158,-0.021743,-0.155100,-0.531900,2.947300,0.293900,0.083200,-0.021700,,,,,,,0
