step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
23,1787660251.54,1787660251.5545,0.06663,-0.411107,-0.256175,2.274894,0.385029,0.065961,0.168738,-0.535480,-0.116131,2.175828,0.366256,-0.171083,0.430841,-0.535500,-0.116100,2.175800,0.366300,-0.171100,0.430800,,,,,,,0
24,1787660251.5775,1787660251.5925,0.0375,-0.434117,-0.231631,2.253418,0.385029,0.036816,0.227029,-0.551460,-0.083450,2.148059,0.366956,-0.239684,0.509138,-0.551500,-0.083500,2.148100,0.367000,-0.239700,0.509100,,,,,,,0
25,1787660251.6284,1787660251.6416,0.05091,-0.474000,-0.176408,2.219670,0.374291,-0.018408,0.369689,-0.570025,-0.065901,2.119770,0.368233,-0.259512,0.545344,-0.570000,-0.065900,2.119800,0.368200,-0.259500,0.545300,,,,,,,0
26,1787660251.695,1787660251.7095,0.06662,-0.518486,-0.118117,2.190525,0.371223,-0.105845,0.510816,-0.571149,-0.046937,2.074202,0.375325,-0.293249,0.569160,-0.571100,-0.046900,2.074200,0.375300,-0.293200,0.569200,,,,,,,0
27,1787660251.7321,1787660251.7455,0.03711,-0.533825,-0.093573,2.170583,0.371223,-0.150330,0.521553,-0.595773,-0.022786,2.067209,0.392513,-0.321089,0.564657,-0.595800,-0.022800,2.067200,0.392500,-0.321100,0.564700,,,,,,,0
28,1787660251.7833,1787660251.7976,0.05118,-0.555301,-0.065961,2.147573,0.371223,-0.205553,0.544563,-0.602186,-0.004899,2.048704,0.393688,-0.329923,0.556796,-0.602200,-0.004900,2.048700,0.393700,-0.329900,0.556800,,,,,,,0
29,1787660251.8497,1787660251.8636,0.06645,-0.569107,-0.038350,2.116893,0.380427,-0.266913,0.566039,-0.604629,0.036654,2.042908,0.400745,-0.341763,0.568423,-0.604600,0.036700,2.042900,0.400700,-0.341800,0.568400,,,,,,,0
30,1787660251.8876,1787660251.9026,0.03788,-0.579845,-0.019942,2.095418,0.386563,-0.291456,0.564505,-0.612755,0.059810,2.026622,0.404106,-0.376030,0.576725,-0.612800,0.059800,2.026600,0.404100,-0.376000,0.576700,,,,,,,0
31,1787660251.9384,1787660251.9546,0.05081,-0.592117,0.001534,2.072408,0.391165,-0.317534,0.564505,-0.614339,0.097174,2.003259,0.416422,-0.399171,0.582419,-0.614300,0.097200,2.003300,0.416400,-0.399200,0.582400,,,,,,,1
32,1787660252.005,1787660252.0208,0.0666,-0.601320,0.023010,2.052466,0.398835,-0.346680,0.572175,-0.627807,0.136435,1.977734,0.416043,-0.428717,0.595840,-0.627800,0.136400,1.977700,0.416000,-0.428700,0.595800,,,,,,,1
33,1787660252.072,1787660252.0866,0.067,-0.602854,0.070563,2.032525,0.408039,-0.380427,0.579845,-0.636102,0.244765,1.925220,0.415940,-0.447970,0.618200,-0.636100,0.244800,1.925200,0.415900,-0.448000,0.618200,,,,,,,1
34,1787660252.1106,1787660252.1246,0.03855,-0.605922,0.095107,2.024855,0.411107,-0.391165,0.587515,-0.636881,0.299416,1.897216,0.406583,-0.485313,0.629546,-0.636900,0.299400,1.897200,0.406600,-0.485300,0.629500,,,,,,,1
35,1787660252.1674,1787660252.1814,0.05683,-0.616660,0.131922,2.000311,0.412641,-0.418777,0.608990,-0.632986,0.329431,1.877578,0.411057,-0.491496,0.626770,-0.633000,0.329400,1.877600,0.411100,-0.491500,0.626800,,,,,,,0
36,1787660252.2056,1787660252.2207,0.03825,-0.625864,0.158000,1.978835,0.412641,-0.434117,0.624330,-0.626101,0.362682,1.857413,0.406448,-0.502977,0.631456,-0.626100,0.362700,1.857400,0.406400,-0.503000,0.631500,,,,,,,0
37,1787660252.2562,1787660252.2695,0.05052,-0.630466,0.216291,1.938952,0.412641,-0.463262,0.625864,-0.621142,0.394714,1.842345,0.391162,-0.485932,0.638944,-0.621100,0.394700,1.842300,0.391200,-0.485900,0.638900,,,,,,,0
38,1787660252.323,1787660252.3376,0.06687,-0.630466,0.299126,1.896000,0.412641,-0.490874,0.628932,-0.617022,0.432686,1.829026,0.384392,-0.507799,0.639565,-0.617000,0.432700,1.829000,0.384400,-0.507800,0.639600,,,,,,,0
39,1787660252.3617,1787660252.3766,0.03861,-0.628932,0.335942,1.879126,0.411107,-0.495476,0.630466,-0.610968,0.455260,1.830660,0.381817,-0.505621,0.636896,-0.611000,0.455300,1.830700,0.381800,-0.505600,0.636900,,,,,,,0
40,1787660252.4195,1787660252.4347,0.05789,-0.624330,0.386563,1.859185,0.394233,-0.489340,0.630466,-0.606524,0.492568,1.813040,0.381579,-0.516776,0.635913,-0.606500,0.492600,1.813000,0.381600,-0.516800,0.635900,,,,,,,0
41,1787660252.4861,1787660252.5007,0.06652,-0.616660,0.435651,1.842311,0.386563,-0.495476,0.630466,-0.603824,0.516932,1.786296,0.389107,-0.545060,0.639002,-0.603800,0.516900,1.786300,0.389100,-0.545100,0.639000,,,,,,,0
