step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
23,1787907409.372,1787907409.3862,0.05152,-0.041417,-0.464796,2.828661,0.414175,1.257864,-0.033748,-0.045038,-0.464517,2.835936,0.421254,1.244533,-0.037139,-0.045000,-0.464500,2.835900,0.421300,1.244500,-0.037100,,,,,,,0
24,1787907409.4386,1787907409.4531,0.06662,-0.041417,-0.463262,2.828661,0.414175,1.253262,-0.033748,-0.044644,-0.462372,2.838833,0.419783,1.240158,-0.034938,-0.044600,-0.462400,2.838800,0.419800,1.240200,-0.034900,,,,,,,0
25,1787907409.4753,1787907409.4901,0.0367,-0.041417,-0.463262,2.828661,0.414175,1.251728,-0.033748,-0.044982,-0.463645,2.841746,0.418653,1.238178,-0.035939,-0.045000,-0.463600,2.841700,0.418700,1.238200,-0.035900,,,,,,,0
26,1787907409.5268,1787907409.5411,0.0515,-0.041417,-0.464796,2.830195,0.414175,1.251728,-0.033748,-0.046311,-0.466048,2.842812,0.415755,1.230809,-0.036762,-0.046300,-0.466000,2.842800,0.415800,1.230800,-0.036800,,,,,,,0
27,1787907409.5933,1787907409.6071,0.06656,-0.041417,-0.464796,2.831729,0.414175,1.245592,-0.033748,-0.044674,-0.464665,2.843497,0.418512,1.228695,-0.037177,-0.044700,-0.464700,2.843500,0.418500,1.228700,-0.037200,,,,,,,0
28,1787907409.6323,1787907409.6481,0.03893,-0.041417,-0.464796,2.831729,0.411107,1.242524,-0.033748,-0.046050,-0.463297,2.843175,0.413230,1.225245,-0.036441,-0.046000,-0.463300,2.843200,0.413200,1.225200,-0.036400,,,,,,,0
29,1787907409.6902,1787907409.7052,0.05793,-0.041417,-0.464796,2.831729,0.411107,1.236389,-0.033748,-0.046006,-0.466259,2.841432,0.411587,1.222785,-0.037096,-0.046000,-0.466300,2.841400,0.411600,1.222800,-0.037100,,,,,,,0
30,1787907409.7563,1787907409.7702,0.06613,-0.041417,-0.464796,2.831729,0.411107,1.233321,-0.033748,-0.048081,-0.465484,2.845585,0.413325,1.223263,-0.036599,-0.048100,-0.465500,2.845600,0.413300,1.223300,-0.036600,,,,,,,0
31,1787907409.7952,1787907409.8092,0.03886,-0.041417,-0.464796,2.833263,0.411107,1.233321,-0.033748,-0.045984,-0.465008,2.847054,0.410004,1.219517,-0.036494,-0.046000,-0.465000,2.847100,0.410000,1.219500,-0.036500,,,,,,,0
32,1787907409.8515,1787907409.8659,0.05632,-0.041417,-0.464796,2.833263,0.411107,1.228719,-0.033748,-0.047437,-0.467001,2.845469,0.411205,1.206125,-0.032937,-0.047400,-0.467000,2.845500,0.411200,1.206100,-0.032900,,,,,,,1
33,1787907409.8905,1787907409.905,0.03904,-0.041417,-0.464796,2.834796,0.411107,1.227185,-0.033748,-0.046387,-0.461654,2.840892,0.412325,1.203938,-0.032719,-0.046400,-0.461700,2.840900,0.412300,1.203900,-0.032700,,,,,,,1
34,1787907409.949,1787907409.963,0.05851,-0.041417,-0.466330,2.834796,0.409573,1.227185,-0.033748,-0.046162,-0.464605,2.836464,0.413272,1.197883,-0.032388,-0.046200,-0.464600,2.836500,0.413300,1.197900,-0.032400,,,,,,,0
35,1787907410.0044,1787907410.0191,0.05539,-0.041417,-0.466330,2.834796,0.409573,1.213379,-0.033748,-0.053411,-0.455441,2.809705,0.416612,1.229557,-0.020054,-0.053400,-0.455400,2.809700,0.416600,1.229600,-0.020100,,,,,,,0
36,1787907410.0608,1787907410.074,0.05632,-0.041417,-0.466330,2.834796,0.409573,1.207243,-0.033748,-0.053400,-0.451703,2.805609,0.416049,1.223201,-0.018151,-0.053400,-0.451700,2.805600,0.416000,1.223200,-0.018200,,,,,,,0
37,1787907410.1011,1787907410.1171,0.04038,-0.041417,-0.466330,2.834796,0.409573,1.205709,-0.032214,-0.052044,-0.448764,2.806672,0.416287,1.230901,-0.016639,-0.052000,-0.448800,2.806700,0.416300,1.230900,-0.016600,,,,,,,0
38,1787907410.1575,1787907410.1711,0.05636,-0.041417,-0.458660,2.828661,0.409573,1.214913,-0.024544,-0.052168,-0.450549,2.800839,0.413042,1.227198,-0.016103,-0.052200,-0.450500,2.800800,0.413000,1.227200,-0.016100,,,,,,,0
39,1787907410.1963,1787907410.21,0.0388,-0.041417,-0.452524,2.819457,0.418777,1.224117,-0.024544,-0.052423,-0.453225,2.802950,0.413879,1.234214,-0.016241,-0.052400,-0.453200,2.802900,0.413900,1.234200,-0.016200,,,,,,,0
40,1787907410.2549,1787907410.2679,0.05858,-0.041417,-0.450990,2.816389,0.417243,1.227185,-0.023010,-0.053070,-0.451048,2.797221,0.407623,1.225157,-0.014559,-0.053100,-0.451000,2.797200,0.407600,1.225200,-0.014600,,,,,,,0
41,1787907410.3105,1787907410.325,0.05563,-0.041417,-0.455592,2.816389,0.417243,1.230253,-0.018408,-0.052795,-0.452790,2.800178,0.409527,1.224921,-0.014477,-0.052800,-0.452800,2.800200,0.409500,1.224900,-0.014500,,,,,,,0
42,1787907410.3498,1787907410.3629,0.03928,-0.041417,-0.452524,2.816389,0.415709,1.231787,-0.018408,-0.053153,-0.455300,2.799964,0.410095,1.229609,-0.015818,-0.053200,-0.455300,2.800000,0.410100,1.229600,-0.015800,,,,,,,0
43,1787907410.406,1787907410.4211,0.05622,-0.041417,-0.454058,2.810253,0.409573,1.231787,-0.018408,-0.054419,-0.459577,2.800379,0.409410,1.227169,-0.015321,-0.054400,-0.459600,2.800400,0.409400,1.227200,-0.015300,,,,,,,0
44,1787907410.445,1787907410.4591,0.03899,-0.041417,-0.454058,2.810253,0.412641,1.231787,-0.018408,-0.053821,-0.456153,2.800485,0.406584,1.231799,-0.017409,-0.053800,-0.456200,2.800500,0.406600,1.231800,-0.017400,,,,,,,0
45,1787907410.504,1787907410.5181,0.05901,-0.041417,-0.452524,2.808719,0.412641,1.231787,-0.018408,-0.052899,-0.456646,2.799792,0.409058,1.231877,-0.016524,-0.052900,-0.456600,2.799800,0.409100,1.231900,-0.016500,,,,,,,0
46,1787907410.5705,1787907410.5861,0.06651,-0.041417,-0.458660,2.808719,0.411107,1.231787,-0.018408,-0.056264,-0.459651,2.802109,0.409615,1.230567,-0.018121,-0.056300,-0.459700,2.802100,0.409600,1.230600,-0.018100,,,,,,,0
