step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786707714.2352,1786707714.5191,0.21446,0.6154,-89.0989,96.7033,61.9780,-83.2967,3.2407,-0.2677,-89.5377,99.1056,61.2656,-83.3673,2.5528,-0.2677,-89.5377,99.1056,61.2656,-83.3673,2.5528,0,0,0,0,0,0,1
1,1786707714.5203,1786707714.5253,0.28502,0.6154,-89.0989,96.7033,61.9780,-83.2967,3.2407,1.4195,-90.7944,100.0567,61.4793,-80.5125,2.6423,1.4195,-90.7944,100.0567,61.4793,-80.5125,2.6423,0,0,0,0,0,0,1
2,1786707714.5537,1786707714.5581,0.03342,0.6154,-89.0989,96.7033,61.9780,-83.2967,3.2407,-0.9354,-89.1404,100.1174,62.9796,-83.2303,2.3011,-0.9354,-89.1404,100.1174,62.9796,-83.2303,2.3011,0,0,0,0,0,0,0
3,1786707714.587,1786707714.5911,0.03328,0.6154,-89.8022,97.0549,61.9780,-83.0330,2.9762,0.0895,-85.8891,98.3319,62.8025,-84.6527,2.9873,0.0895,-85.8891,98.3319,62.8025,-84.6527,2.9873,0,-150,150,0,100,-100,0
4,1786707714.6204,1786707714.6246,0.0334,0.7033,-90.2418,97.3187,62.2418,-82.4176,2.7778,0.5709,-84.6504,97.1393,62.9398,-83.0798,2.8199,0.5709,-84.6504,97.1393,62.9398,-83.0798,2.8199,50,-150,150,150,250,-100,0
5,1786707714.6537,1786707714.6589,0.03338,0.4396,-89.2747,97.3187,62.5055,-82.9451,2.9101,-0.3052,-86.8371,98.8132,64.2422,-84.2007,2.8826,-0.3052,-86.8371,98.8132,64.2422,-84.2007,2.8826,-50,400,0,150,-150,0,0
6,1786707714.6871,1786707714.6912,0.03336,0.1758,-87.5165,97.1429,62.6813,-83.7363,2.9101,-1.1551,-86.0163,96.6392,64.4965,-83.7333,2.6236,-1.1551,-86.0163,96.6392,64.4965,-83.7333,2.6236,0,600,-100,0,-300,0,0
7,1786707714.7205,1786707714.7258,0.03341,0.3516,-86.7253,97.1429,63.1209,-84.0000,2.9101,-1.0729,-87.6766,95.9136,65.0022,-85.0579,2.6950,-1.0729,-87.6766,95.9136,65.0022,-85.0579,2.6950,50,350,0,150,-150,0,0
8,1786707714.7539,1786707714.7583,0.0334,-0.3516,-86.8132,97.2308,63.5604,-83.9121,2.9101,-1.1655,-87.7945,98.1138,65.6903,-85.0565,2.6630,-1.1655,-87.7945,98.1138,65.6903,-85.0565,2.6630,-250,-50,50,200,0,0,0
9,1786707714.7873,1786707714.7916,0.03338,-0.6154,-87.1648,96.7912,64.0879,-84.2637,2.9101,-0.9673,-88.9009,100.5796,64.5799,-85.3707,2.2264,-0.9673,-88.9009,100.5796,64.5799,-85.3707,2.2264,-100,-200,-200,150,-150,0,0
