step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
21,1786707650.3056,1786707650.3101,0.03338,1.1429,-89.8901,95.0330,69.1868,-82.1538,2.1825,0.9299,-88.3121,93.6989,66.9771,-81.9880,2.0720,0.9299,-88.3121,93.6989,66.9771,-81.9880,2.0720,0,0,-100,0,100,0,0
22,1786707650.3391,1786707650.3434,0.03343,1.2308,-90.0659,95.1209,68.9231,-81.6264,2.1825,-0.3556,-89.2326,93.0376,69.1519,-80.4523,2.0024,-0.3556,-89.2326,93.0376,69.1519,-80.4523,2.0024,50,0,50,-100,150,0,0
23,1786707650.3724,1786707650.3766,0.03335,1.1429,-90.0659,95.1209,68.3077,-81.6264,2.1825,-2.3101,-89.5926,89.7141,68.6177,-78.8169,1.9947,-2.3101,-89.5926,89.7141,68.6177,-78.8169,1.9947,-50,0,-50,-150,50,0,0
24,1786707650.4058,1786707650.4101,0.0334,0.7033,-89.7143,94.7692,67.8681,-81.8901,2.1825,-1.8671,-90.2543,91.5535,69.8418,-80.9080,1.9171,-1.8671,-90.2543,91.5535,69.8418,-80.9080,1.9171,-100,100,-100,-200,-100,0,0
25,1786707650.4392,1786707650.4433,0.03341,-0.6154,-89.7143,94.2418,68.4835,-81.0110,2.1825,-1.0055,-90.4761,94.5359,69.6269,-80.9786,1.8791,-1.0055,-90.4761,94.5359,69.6269,-80.9786,1.8791,-400,0,-150,250,150,0,0
26,1786707650.4726,1786707650.4767,0.03339,-1.4066,-89.7143,93.3626,69.0110,-79.9560,2.1825,0.5654,-87.7069,93.9929,67.8569,-80.9589,2.2042,0.5654,-87.7069,93.9929,67.8569,-80.9589,2.2042,-150,50,-300,250,450,0,0
27,1786707650.506,1786707650.5102,0.03336,-0.8791,-90.3297,93.5385,69.1868,-80.4835,2.1825,-1.5859,-89.1304,90.3721,68.7635,-78.2402,2.2114,-1.5859,-89.1304,90.3721,68.7635,-78.2402,2.2114,50,-250,-50,50,-200,0,0
28,1786707650.5394,1786707650.5437,0.03338,-0.2637,-89.8901,94.2418,68.9231,-80.8352,2.1825,-0.5745,-90.4903,93.6629,69.9750,-81.2720,2.1350,-0.5745,-90.4903,93.6629,69.9750,-81.2720,2.1350,250,0,300,-100,-300,0,0
29,1786707650.5728,1786707650.5769,0.03342,-0.2637,-89.0110,94.2418,68.5714,-80.3956,2.1825,-1.1707,-88.5601,93.8056,67.4633,-82.3363,2.2525,-1.1707,-88.5601,93.8056,67.4633,-82.3363,2.2525,-50,350,-50,-200,100,0,0
30,1786707650.6061,1786707650.6105,0.03337,-0.4396,-89.3626,94.1538,69.2747,-79.5165,2.1825,-0.5987,-87.6849,90.3764,69.0673,-80.9141,2.2486,-0.5987,-87.6849,90.3764,69.0673,-80.9141,2.2486,0,-150,-50,250,300,0,0
31,1786707650.6396,1786707650.6437,0.0334,-0.7033,-89.9780,94.3297,69.3626,-79.7802,2.1825,-1.3724,-86.7964,87.2535,69.8658,-81.8189,2.1590,-1.3724,-86.7964,87.2535,69.8658,-81.8189,2.1590,-100,-150,100,0,-250,0,0
32,1786707650.673,1786707650.6772,0.03343,-0.8791,-89.5385,93.9780,69.2747,-80.6593,2.1825,-1.1175,-88.3158,87.8779,70.0841,-80.3636,2.1809,-1.1175,-88.3158,87.8779,70.0841,-80.3636,2.1809,-50,50,-150,-50,-300,0,0
33,1786707650.7064,1786707650.7106,0.03337,-0.8791,-88.2198,92.5714,69.6264,-81.0989,2.1825,-1.0147,-85.4026,83.4040,73.7861,-81.8022,2.3041,-1.0147,-85.4026,83.4040,73.7861,-81.8022,2.3041,0,550,-450,150,-150,0,0
34,1786707650.7397,1786707650.7441,0.03339,-0.8791,-87.8681,90.8132,69.8901,-81.0110,2.1825,-1.1712,-88.5836,89.5527,73.9111,-80.6790,2.2713,-1.1712,-88.5836,89.5527,73.9111,-80.6790,2.2713,0,50,-600,50,50,0,0
35,1786707650.7731,1786707650.7776,0.0334,-0.8791,-88.0440,89.4066,70.6813,-80.7473,2.1825,0.0299,-82.7591,78.7707,74.0977,-79.6472,2.5006,0.0299,-82.7591,79.2308,74.0977,-79.6472,2.5006,0,-50,-500,150,150,0,0
36,1786707650.8065,1786707650.8108,0.03338,-0.8791,-88.1319,87.5604,72.1758,-81.0989,2.1825,-2.0586,-82.4458,81.8502,74.4354,-80.0836,2.3802,-2.0586,-82.4458,81.8502,74.4354,-80.0836,2.3802,0,0,-700,500,-100,0,0
37,1786707650.84,1786707650.8443,0.03345,-0.8791,-88.3077,85.9780,72.9670,-80.3956,2.1825,-1.3490,-70.4025,67.6211,72.7598,-71.5231,2.5334,-1.3490,-78.2198,75.7143,72.7598,-71.5231,2.5334,0,0,-500,200,200,0,0
38,1786707650.8733,1786707650.8777,0.03337,-0.7912,-86.6374,84.1319,73.3187,-80.3956,2.1825,0.1376,-65.7928,63.8505,76.8223,-67.4819,2.6037,0.1376,-76.3736,73.8681,76.8223,-70.3956,2.6037,50,400,-650,100,100,0,0
39,1786707650.9067,1786707650.9111,0.03338,-0.7912,-84.0000,82.4615,73.3187,-79.6923,2.2487,-1.1482,-59.1635,57.5656,77.2510,-62.9292,2.5961,-1.1482,-73.6484,72.1978,77.2510,-69.5165,2.5961,0,850,-500,0,250,0,0
40,1786707650.9401,1786707650.9445,0.03339,-0.9670,-80.9231,80.0000,73.1429,-77.3187,2.3148,1.9852,-56.7932,56.2298,76.8647,-56.0034,2.7145,1.9852,-70.6593,69.5604,76.8647,-66.9670,2.7145,-100,1100,-850,-100,850,50,0
41,1786707650.9736,1786707650.9783,0.03344,-0.6154,-78.1978,77.5385,74.2857,-74.5055,2.3148,3.2907,-58.5990,58.5841,77.2198,-53.9837,2.5504,3.2907,-67.8462,67.1868,77.2198,-64.1538,2.5504,100,950,-800,450,1150,0,0
42,1786707651.0069,1786707651.0114,0.03334,-0.2637,-75.5604,75.3407,75.7802,-71.7802,2.4471,5.1366,-61.0819,57.6993,78.8437,-49.3729,2.8721,5.1366,-65.1209,65.0769,78.8437,-61.4286,2.8721,100,900,-750,600,950,50,0
43,1786707651.0403,1786707651.0446,0.03337,0.4396,-72.6593,72.9670,76.2198,-68.7912,2.4471,5.3073,-55.5159,55.3072,79.4153,-49.6487,2.7513,5.3073,-62.3956,62.6154,79.4153,-58.4396,2.7513,50,900,-800,150,1050,0,0
44,1786707651.0737,1786707651.0781,0.0334,2.3736,-70.1099,70.5934,77.0989,-66.3297,2.5132,6.4959,-62.6309,62.6008,78.8416,-51.1978,2.8601,6.4959,-62.6309,62.6008,78.8416,-56.0659,2.8601,650,850,-800,400,850,50,0
45,1786707651.107,1786707651.1114,0.03338,3.9560,-67.2088,68.3077,78.1538,-63.5165,2.5132,7.9081,-58.4460,60.0785,76.8127,-45.4749,2.7263,7.9081,-58.4460,60.0785,76.8127,-53.0769,2.7263,400,950,-800,400,1000,0,0
46,1786707651.1405,1786707651.1447,0.03343,4.2198,-65.3626,66.7253,78.0659,-60.6154,2.5794,9.4582,-56.8791,58.7339,76.7046,-42.2454,2.7096,9.4582,-56.8791,58.7339,76.7046,-50.2637,2.7096,150,600,-600,-50,950,50,0
47,1786707651.1739,1786707651.1785,0.03343,5.5385,-63.9560,65.5824,77.8901,-57.9780,2.5794,10.9149,-56.1940,58.6822,75.2084,-42.3371,2.7008,10.9149,-56.1940,58.6822,75.2084,-47.6264,2.7008,450,500,-400,-100,950,0,0
48,1786707651.2072,1786707651.2115,0.03332,7.4725,-62.0220,63.4725,77.2747,-55.4286,2.5794,9.5678,-62.9655,67.2596,74.8111,-45.7433,2.7002,9.5678,-62.9655,67.2596,74.8111,-45.7433,2.7002,700,650,-650,-200,850,0,0
49,1786707651.2406,1786707651.2449,0.03342,8.6154,-59.8242,62.2418,76.5714,-52.6154,2.5794,8.2047,-68.4521,75.5899,74.1518,-52.6169,2.6030,8.2047,-68.4521,72.1538,74.1518,-52.6169,2.6030,450,750,-500,-250,950,0,0
50,1786707651.274,1786707651.3893,0.0334,8.9670,-58.6813,62.2418,75.7802,-50.0659,2.5794,15.0142,-33.4409,34.7347,83.0315,-34.5201,2.6243,15.0142,-55.3626,60.4176,83.0315,-41.2967,2.6243,150,250,0,-300,950,0,1
51,1786707651.3904,1786707651.3953,0.1164,8.4396,-65.3626,70.4176,74.8132,-51.3846,2.5794,17.2491,-31.5729,32.5900,81.3784,-34.1065,2.5555,17.2491,-55.5385,60.5934,81.3784,-41.4725,2.5555,150,-550,650,0,-600,0,1
52,1786707651.4237,1786707651.4283,0.03328,8.5275,-66.2418,71.1209,74.8132,-51.6484,2.5794,18.1771,-27.8584,26.7644,83.3843,-29.3047,2.5219,18.1771,-56.2418,61.1209,83.3843,-41.6484,2.5219,0,-350,350,0,-100,0,0
53,1786707651.4571,1786707651.4616,0.0334,8.7912,-66.1538,70.7692,75.5165,-51.0330,2.5794,18.7886,-28.4487,26.1212,80.5652,-28.4598,2.7069,18.7886,-56.0659,60.6813,80.5652,-40.7692,2.7069,-150,0,-100,200,350,0,0
54,1786707651.4905,1786707651.4955,0.03342,11.2527,-64.2198,69.0989,77.8901,-48.8352,2.5794,20.2144,-20.3561,22.9700,80.7145,-24.5996,2.7994,20.2144,-53.7802,58.7473,80.7145,-38.4835,2.7994,800,800,-600,900,700,0,0
55,1786707651.5239,1786707651.5285,0.03337,14.5055,-60.8791,66.4615,80.1758,-45.9341,2.5794,20.8051,-14.7915,16.4914,84.4257,-21.1021,2.3963,20.8051,-50.5275,56.1099,84.4257,-35.4945,2.3963,1100,1050,-900,850,1050,0,0
56,1786707651.5573,1786707651.5617,0.03337,16.6154,-58.0659,64.1758,81.3187,-43.1209,2.5794,22.6516,-13.4066,12.8241,85.9875,-18.0095,2.6177,22.6516,-47.8022,53.9121,85.9875,-32.7692,2.6177,850,950,-750,400,900,0,0
57,1786707651.5907,1786707651.5953,0.0334,17.9341,-55.4286,61.8901,81.9341,-40.3956,2.5132,23.8124,-6.6873,9.2853,87.1934,-17.8156,2.3074,23.8124,-45.0769,51.5385,87.1934,-29.9560,2.3074,400,900,-850,250,900,0,0
58,1786707651.624,1786707651.6285,0.03337,19.3407,-52.7033,59.2527,83.5165,-37.5824,2.5132,23.1742,-6.8265,11.0595,86.7226,-17.0296,2.9779,23.1742,-42.2637,48.9890,86.7226,-27.2308,2.9779,500,900,-850,350,900,0,0
59,1786707651.6574,1786707651.6618,0.03338,21.0989,-49.8022,57.0549,85.1868,-34.8571,2.5132,23.6854,-6.0846,7.0259,89.2841,-13.6502,2.4634,23.6854,-39.4505,46.7912,89.2841,-24.5055,2.4634,650,950,-800,600,950,0,0
60,1786707651.6909,1786707651.6953,0.03344,21.9780,-46.8132,54.6813,85.4505,-32.1319,2.6455,25.3877,-3.2891,2.7905,89.7455,-12.6834,2.6352,25.3877,-36.4615,44.4176,89.7455,-21.7802,2.6352,350,1000,-850,100,900,100,0
61,1786707651.7242,1786707651.7286,0.03336,22.1538,-44.0879,52.2198,86.4176,-29.4066,2.6455,26.8118,0.7138,-0.3443,90.7558,-9.5320,2.8566,26.8118,-33.7363,41.9560,90.7558,-19.0549,2.8566,50,950,-800,100,950,0,0
62,1786707651.7576,1786707651.7621,0.03338,23.0330,-41.1868,49.8462,88.1758,-26.4176,2.6455,27.3364,1.4563,-5.2324,91.9274,-8.7405,2.5839,27.3364,-30.8352,39.4945,91.9274,-16.0659,2.5839,150,950,-850,650,1050,0,0
63,1786707651.791,1786707651.7955,0.03342,24.8791,-38.1978,47.5604,89.0549,-23.9560,2.6455,26.9557,-1.3426,-1.7179,92.1489,-7.5447,2.7245,26.9557,-27.9341,37.2967,92.1489,-13.5165,2.7245,550,1000,-750,350,800,0,0
64,1786707651.8244,1786707651.8289,0.03338,25.9341,-35.3846,45.1868,89.9341,-21.1429,2.6455,28.3340,7.6986,-9.5265,91.6276,-4.2865,3.0659,28.3340,-25.0330,34.8352,91.6276,-10.7912,3.0659,350,1000,-800,200,900,0,0
65,1786707651.8578,1786707651.8621,0.03336,25.9341,-32.5714,42.6374,90.9011,-18.3297,2.6455,29.0147,4.8292,-7.3175,91.1335,-3.7004,3.1119,29.0147,-22.1319,32.3736,91.1335,-7.9780,3.1119,0,950,-800,300,950,0,0
66,1786707651.8911,1786707651.8957,0.03338,26.2857,-29.6703,40.2637,90.9890,-15.6044,2.7778,28.5990,5.0079,-6.9033,89.1005,-3.2772,3.4325,28.5990,-19.2308,30.0000,89.1005,-5.2527,3.4325,0,1000,-750,50,900,50,0
67,1786707651.9245,1786707651.929,0.0334,27.5165,-26.5934,37.9780,90.5495,-12.7912,2.9101,28.0890,2.3285,-8.0096,88.5395,-2.7733,3.1329,28.0890,-16.2418,27.6264,88.5395,-2.7733,3.1329,350,1000,-800,-150,950,50,0
68,1786707651.958,1786707651.963,0.03344,27.9560,-23.6044,35.5165,90.3736,-9.9780,3.0423,31.1831,6.1225,-7.8170,87.3312,-4.8861,3.8483,31.1831,-13.1648,25.1648,87.3312,-4.8861,3.8483,50,1050,-800,-50,950,100,0
