step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1787057345.2006,1787057345.5558,2.11344,-0.0879,-96.9231,95.3846,76.5714,-88.9231,1.9180,0.7507,-97.5513,92.9753,76.3326,-89.0700,0.8957,0.7507,-97.5513,92.9753,76.3326,-89.0700,0.8957,0,0,0,0,0,0,1
1,1787057345.5569,1787057345.5623,0.35629,-0.0879,-96.9231,95.3846,76.5714,-88.9231,1.9180,0.9853,-98.0816,92.2056,76.2964,-88.9953,0.8087,0.9853,-98.0816,92.2056,76.2964,-88.9953,0.8087,0,0,0,0,0,0,1
2,1787057345.5902,1787057345.5952,0.03328,-0.0879,-96.9231,95.3846,76.5714,-88.9231,1.9180,0.3339,-98.4114,91.5968,76.6605,-89.5717,0.7116,0.3339,-98.4114,91.5968,76.6605,-89.5717,0.7116,0,0,0,0,0,0,0
3,1787057345.6236,1787057345.6283,0.03337,0.0000,-97.0989,95.2088,76.5714,-88.9231,1.6534,0.7051,-98.5411,92.3885,76.2987,-89.2570,0.7924,0.7051,-98.5411,92.3885,76.2987,-89.2570,0.7924,50,0,-100,0,0,-150,0
4,1787057345.6569,1787057345.6617,0.03335,0.3516,-97.5385,94.5934,76.6593,-89.1868,1.4550,0.3735,-98.0239,91.2527,76.2292,-89.4606,0.6000,0.3735,-98.0239,91.2527,76.2292,-89.4606,0.6000,100,-150,-200,50,-50,-150,0
5,1787057345.6903,1787057345.6949,0.03335,0.5275,-98.0659,94.4176,76.5714,-89.3626,1.4550,0.7866,-97.3581,91.2311,74.9734,-89.6985,0.8166,0.7866,-97.3581,91.2311,74.9734,-89.6985,0.8166,50,-150,-100,0,-50,0,0
6,1787057345.7236,1787057345.7282,0.03337,0.5275,-98.1538,94.3297,76.5714,-89.3626,1.4550,1.1852,-99.3305,89.8129,75.0301,-91.8791,0.8566,1.1852,-99.3305,89.8129,75.0301,-91.8791,0.8566,0,0,0,0,0,0,0
7,1787057345.757,1787057345.7617,0.03339,0.4396,-97.8901,94.0659,76.2198,-89.2747,1.4550,1.4308,-98.7708,89.0272,75.4966,-92.0189,0.6441,1.4308,-98.7708,89.0272,75.4966,-92.0189,0.6441,-50,100,-100,-100,50,0,0
8,1787057345.7904,1787057345.795,0.03333,0.4396,-98.0659,93.4505,75.9560,-89.9780,1.4550,1.2183,-96.6702,87.2677,74.5564,-93.1989,0.9880,1.2183,-96.6702,87.2677,74.5564,-93.1989,0.9880,0,-100,-150,-50,-200,0,0
9,1787057345.8237,1787057345.8285,0.03336,0.9670,-98.6813,92.5714,75.9560,-90.9451,1.4550,2.6873,-97.1781,84.2589,75.7015,-91.9922,0.7019,2.6873,-97.1781,84.2589,75.7015,-91.9922,0.7019,250,-200,-250,0,-300,0,0
