step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1787057239.3909,1787057239.8574,2.16144,-0.4396,-96.0440,95.4725,76.0440,-89.3626,2.3810,-1.0730,-96.4558,92.0908,76.1215,-90.0768,2.1300,-1.0730,-96.4558,92.0908,76.1215,-90.0768,2.1300,0,0,0,0,0,0,1
1,1787057239.8585,1787057239.8641,0.46765,-0.4396,-96.0440,95.4725,76.0440,-89.3626,2.3810,-1.4938,-96.0165,90.9193,76.1796,-89.7493,2.0169,-1.4938,-96.0165,90.9193,76.1796,-89.7493,2.0169,0,0,0,0,0,0,1
2,1787057239.8919,1787057239.8967,0.03332,-0.4396,-96.0440,95.4725,76.0440,-89.3626,2.3810,-1.8423,-95.4282,90.5098,76.5791,-90.8323,2.0599,-1.8423,-95.4282,90.5098,76.5791,-90.8323,2.0599,0,0,0,0,0,0,0
3,1787057239.9253,1787057239.93,0.03339,-0.7033,-96.0440,95.2088,76.1319,-89.7143,2.3810,-1.8868,-96.1969,88.8662,76.5369,-91.1977,2.0203,-1.8868,-96.1969,88.8662,76.5369,-91.1977,2.0203,-150,0,-100,0,-150,0,0
4,1787057239.9587,1787057239.9634,0.03341,-1.4066,-95.7802,94.1538,76.2198,-90.0659,2.3810,-0.7478,-96.0818,88.0355,77.3856,-91.8214,1.9068,-0.7478,-96.0818,88.0355,77.3856,-91.8214,1.9068,-250,150,-400,50,-150,0,0
5,1787057239.9921,1787057239.9969,0.03339,-1.6703,-95.8681,92.8352,76.2198,-90.5934,2.3810,-2.3133,-96.3049,87.1809,77.6903,-92.7623,2.0083,-2.3133,-96.3049,87.1809,77.6903,-92.7623,2.0083,-100,0,-500,0,-200,0,0
6,1787057240.0254,1787057240.0303,0.03337,-1.4945,-96.0440,91.7802,76.6593,-91.1209,2.3148,-2.0960,-95.6433,84.3913,78.6749,-94.7584,1.9372,-2.0960,-95.6433,84.3913,78.6749,-94.7584,1.9372,100,-50,-350,100,-200,-50,0
7,1787057240.0588,1787057240.0636,0.03342,-1.2308,-96.1319,90.9011,77.0989,-91.8242,2.3148,-2.0987,-95.8495,82.6368,79.9918,-96.5866,1.7543,-2.0987,-95.8495,82.6368,79.9918,-96.5866,1.7543,100,-50,-300,150,-250,0,0
8,1787057240.0922,1787057240.097,0.03336,-1.5824,-95.9560,89.6703,77.7143,-93.0549,2.3148,-1.7225,-95.1147,79.3785,81.0923,-98.0903,1.6683,-1.7225,-95.1147,79.4066,81.0923,-98.0903,1.6683,-100,50,-350,150,-400,0,0
9,1787057240.1256,1787057240.1305,0.03344,-2.0220,-95.7802,87.6484,78.6813,-94.4615,2.1825,-1.0158,-93.2860,76.5355,82.7674,-100.1014,1.5340,-1.0158,-93.2860,77.3846,82.7674,-100.1014,1.5340,-50,100,-650,350,-550,-50,0
