step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1787058141.1244,1787058141.5861,2.09015,-0.1758,-97.5385,96.8791,78.1538,-87.7802,2.4471,0.1109,-96.5107,97.9111,76.3878,-87.7477,1.7051,0.1109,-96.5107,97.9111,76.3878,-87.7477,1.7051,0,0,0,0,0,0,1
1,1787058141.5873,1787058141.5931,0.46292,-0.1758,-97.5385,96.8791,78.1538,-87.7802,2.4471,-0.0902,-95.8949,97.2479,75.9232,-88.1340,1.7479,-0.0902,-95.8949,97.2479,75.9232,-88.1340,1.7479,0,0,0,0,0,0,1
2,1787058141.6206,1787058141.6254,0.0333,-0.1758,-97.5385,96.8791,78.1538,-87.7802,2.4471,0.2303,-96.6264,97.7335,76.1912,-87.7044,1.8331,0.2303,-96.6264,97.7335,76.1912,-87.7044,1.8331,0,0,0,0,0,0,0
3,1787058141.654,1787058141.6586,0.03341,-0.1758,-97.2747,96.8791,77.5385,-87.7802,2.2487,0.0263,-96.9567,97.8162,76.6304,-88.0015,1.9427,0.0263,-96.9567,97.8162,76.6304,-88.0015,1.9427,0,100,0,-100,0,-100,0
4,1787058141.6874,1787058141.6919,0.03338,-0.1758,-96.9231,96.8791,76.9231,-87.7802,2.1825,-0.0222,-96.9697,97.6228,76.2305,-88.2832,1.9177,-0.0222,-96.9697,97.6228,76.2305,-88.2832,1.9177,0,100,0,-250,0,0,0
5,1787058141.7208,1787058141.7254,0.03337,-0.1758,-96.7473,96.9670,77.0110,-87.7802,2.1825,-0.0188,-96.5946,98.3221,76.5252,-88.5102,1.8994,-0.0188,-96.5946,98.3221,76.5252,-88.5102,1.8994,0,50,0,50,0,0,0
6,1787058141.7542,1787058141.7588,0.03342,-0.1758,-96.6593,96.9670,76.8352,-87.8681,2.1825,-0.1062,-96.7748,97.5911,76.3160,-88.4509,1.9269,-0.1062,-96.7748,97.5911,76.3160,-88.4509,1.9269,0,0,0,-50,0,0,0
7,1787058141.7875,1787058141.792,0.03334,-0.1758,-96.6593,97.0549,76.7473,-88.1319,2.1825,0.1652,-96.2645,96.7461,75.7683,-88.5730,1.9817,0.1652,-96.2645,96.7461,75.7683,-88.5730,1.9817,0,0,50,-50,-100,0,0
8,1787058141.8209,1787058141.8254,0.03341,-0.1758,-96.6593,97.0549,76.7473,-88.1319,2.1825,-0.1023,-96.4817,97.0279,76.6235,-87.9343,1.8605,-0.1023,-96.4817,97.0279,76.6235,-87.9343,1.8605,0,0,0,0,0,0,0
9,1787058141.8543,1787058141.8589,0.03339,-0.1758,-96.6593,96.9670,76.5714,-88.1319,2.1825,0.3101,-96.9236,97.6804,76.5500,-87.7445,1.6502,0.3101,-96.9236,97.6804,76.5500,-87.7445,1.6502,0,0,-50,-50,0,0,0
10,1787058141.8877,1787058141.8922,0.03336,-0.1758,-96.6593,96.9670,76.4835,-88.1319,2.1825,-0.0965,-96.5378,97.9906,77.2445,-88.2439,1.9822,-0.0965,-96.5378,97.9906,77.2445,-88.2439,1.9822,0,0,0,0,0,0,0
11,1787058141.9211,1787058141.9256,0.03339,-0.1758,-96.6593,96.9670,76.5714,-88.0440,2.1825,-0.7825,-95.9926,96.6381,76.6229,-88.5840,1.9028,-0.7825,-95.9926,96.6381,76.6229,-88.5840,1.9028,0,0,0,0,50,0,0
