step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1787057020.7142,1787057021.0844,2.20239,-0.9670,-97.4505,96.0879,76.5714,-90.3297,1.8519,-0.9148,-98.4309,96.1530,77.2466,-89.3900,1.0841,-0.9148,-98.4309,96.1530,77.2466,-89.3900,1.0841,0,0,0,0,0,0,1
1,1787057021.0855,1787057021.0906,0.37137,-0.9670,-97.4505,96.0879,76.5714,-90.3297,1.8519,-1.9257,-97.8516,94.5738,77.6448,-89.5976,0.9455,-1.9257,-97.8516,94.5738,77.6448,-89.5976,0.9455,0,0,0,0,0,0,1
2,1787057021.1189,1787057021.1236,0.03338,-0.9670,-97.4505,96.0879,76.5714,-90.3297,1.8519,-1.3972,-97.9876,95.3296,76.9893,-90.1752,1.0633,-1.3972,-97.9876,95.3296,76.9893,-90.1752,1.0633,0,0,0,0,0,0,0
3,1787057021.1523,1787057021.1566,0.03336,-1.2308,-97.5385,95.9121,77.0110,-90.2418,1.6534,-1.5928,-98.7154,94.2386,76.9387,-89.9293,1.1082,-1.5928,-98.7154,94.2386,76.9387,-89.9293,1.1082,-50,-50,-50,200,50,-100,0
4,1787057021.1857,1787057021.1899,0.03339,-1.5824,-97.6264,95.6484,76.9231,-90.2418,1.5873,-1.8124,-98.2520,95.4808,78.3679,-89.2875,0.8736,-1.8124,-98.2520,95.4808,78.3679,-89.2875,0.8736,-200,0,-50,0,0,0,0
5,1787057021.2191,1787057021.2233,0.0334,-1.6703,-97.8022,95.5604,76.9231,-90.1538,1.5873,-2.0676,-98.2931,94.7215,77.5589,-90.1160,1.0733,-2.0676,-98.2931,94.7215,77.5589,-90.1160,1.0733,0,-50,-50,0,50,0,0
6,1787057021.2525,1787057021.2566,0.03342,-1.4945,-98.0659,95.4725,77.4505,-89.9780,1.5873,-2.0730,-98.1375,94.1630,77.6832,-90.2510,0.9714,-2.0730,-98.1375,94.1630,77.6832,-90.2510,0.9714,50,-150,-50,200,50,0,0
7,1787057021.2858,1787057021.29,0.03336,-1.5824,-98.0659,95.4725,77.6264,-90.0659,1.5873,-1.9109,-98.1804,94.6268,78.0636,-90.3023,1.0745,-1.9109,-98.1804,94.6268,78.0636,-90.3023,1.0745,0,0,0,150,-50,0,0
8,1787057021.3193,1787057021.3236,0.03344,-1.7582,-98.0659,95.4725,77.6264,-90.1538,1.5873,-1.9649,-98.0975,96.1601,78.4747,-90.0744,0.9552,-1.9649,-98.0975,96.1601,78.4747,-90.0744,0.9552,-100,0,0,0,0,0,0
9,1787057021.3526,1787057021.3572,0.03336,-1.8462,-98.0659,95.3846,77.7143,-90.1538,1.5873,-1.3422,-97.8412,94.0048,78.5421,-89.4149,1.0063,-1.3422,-97.8412,94.0048,78.5421,-89.4149,1.0063,-50,0,-50,50,0,0,0
10,1787057021.386,1787057021.3902,0.03337,-1.8462,-98.0659,95.5604,78.0659,-90.1538,1.5873,-1.3391,-98.3740,93.5903,78.6661,-89.6922,1.0404,-1.3391,-98.3740,93.5903,78.6661,-89.6922,1.0404,0,0,50,100,0,0,0
11,1787057021.4195,1787057021.4237,0.03347,-1.8462,-98.0659,95.6484,78.2418,-89.9780,1.5873,-1.9009,-98.3770,93.8326,77.4715,-89.8035,1.1861,-1.9009,-98.3770,93.8326,77.4715,-89.8035,1.1861,0,0,0,50,100,0,0
12,1787057021.4528,1787057021.457,0.0333,-1.8462,-98.0659,95.2967,78.3297,-89.9780,1.5873,-1.8694,-97.8070,92.0452,78.5895,-88.9074,1.4184,-1.8694,-97.8070,92.0452,78.5895,-88.9074,1.4184,0,0,-100,50,0,0,0
13,1787057021.4862,1787057021.491,0.0334,-1.6703,-98.0659,95.2088,78.0659,-89.9780,1.5873,-2.4345,-97.7350,92.2975,79.4397,-88.9240,1.0263,-2.4345,-97.7350,92.2975,79.4397,-88.9240,1.0263,50,0,0,-50,0,0,0
14,1787057021.5196,1787057021.5241,0.03345,-1.6703,-98.0659,94.9451,78.1538,-89.6264,1.5873,-1.7020,-98.4770,91.9405,78.8468,-88.2258,1.1965,-1.7020,-98.4770,91.9405,78.8468,-88.2258,1.1965,0,0,-100,-50,150,0,0
15,1787057021.553,1787057021.558,0.03338,-1.7582,-98.0659,94.5934,78.7692,-89.4505,1.5873,-1.3052,-98.6418,91.0109,79.2916,-88.2585,1.1124,-1.3052,-98.6418,91.0109,79.2916,-88.2585,1.1124,-50,0,-150,200,50,0,0
16,1787057021.5865,1787057021.5912,0.03346,-2.1099,-98.1538,94.5055,78.7692,-89.0989,1.5873,-1.4870,-99.5282,89.5329,79.5687,-88.4176,1.0130,-1.4870,-99.5282,89.5329,79.5687,-88.4176,1.0130,-150,0,0,0,150,0,0
17,1787057021.6198,1787057021.6246,0.0333,-1.8462,-98.1538,94.0659,78.9451,-88.9231,1.5873,-0.2134,-99.4907,88.1294,80.1439,-89.0350,1.0033,-0.2134,-99.4907,88.1294,80.1439,-89.0350,1.0033,100,0,-200,100,50,0,0
18,1787057021.6532,1787057021.6579,0.03338,-1.4945,-98.3297,93.1868,79.2967,-89.0989,1.5873,0.6863,-97.5852,85.7305,80.9051,-88.3601,1.0623,0.6863,-97.5852,85.7305,80.9051,-88.3601,1.0623,100,-50,-250,150,-50,0,0
19,1787057021.6865,1787057021.6913,0.03337,-1.4945,-98.8571,92.0440,79.7363,-89.0989,1.5873,0.9564,-96.9185,81.7058,81.0556,-88.6607,1.1334,0.9564,-96.9185,81.7802,81.0556,-88.6607,1.1334,0,-150,-400,150,-50,0,0
20,1787057021.72,1787057021.7248,0.03343,-0.5275,-98.8571,90.5495,80.2637,-88.9231,1.5873,2.0161,-93.8831,78.4089,82.6326,-88.0037,1.1315,2.0161,-93.8831,80.2857,82.6326,-88.0037,1.1315,300,-100,-550,200,0,0,0
21,1787057021.7533,1787057021.7584,0.03339,0.2637,-98.0659,88.5275,80.7033,-89.0110,1.5873,3.3394,-90.7373,74.5221,82.8063,-86.6086,0.9537,3.3394,-90.7373,78.1758,82.8063,-86.6086,0.9537,150,250,-650,150,0,0,0
22,1787057021.7868,1787057021.7922,0.03342,0.3516,-97.0989,86.0659,81.3187,-88.4835,1.5873,4.2124,-85.5518,70.6016,83.2169,-84.8724,1.0251,4.2124,-86.9231,75.6264,83.2169,-84.8724,1.0251,50,350,-850,300,100,0,0
23,1787057021.8201,1787057021.8251,0.03338,1.4945,-95.3407,83.7802,82.0220,-87.7802,1.5873,4.9099,-80.3830,65.0876,82.8288,-83.2379,0.9381,4.9099,-84.9890,73.4286,82.8288,-83.2379,0.9381,350,500,-750,250,250,0,0
24,1787057021.8535,1787057021.858,0.03336,2.9011,-92.7033,81.5824,82.4615,-86.8132,1.5873,6.3029,-72.3574,59.2446,84.0037,-79.7647,0.9743,6.3029,-82.2637,71.2308,84.0037,-79.7647,0.9743,450,800,-800,100,250,0,0
25,1787057021.887,1787057021.8919,0.03346,3.3407,-89.8901,79.2088,82.4615,-85.4066,1.5873,7.5922,-66.4930,52.8312,83.7398,-76.9676,1.0607,7.5922,-79.5385,68.8571,83.7398,-76.9676,1.0607,200,900,-750,0,450,0,0
26,1787057021.9203,1787057021.9253,0.03337,4.2198,-87.4286,77.0110,83.0769,-83.4725,1.5873,8.7296,-58.1105,44.6038,85.6407,-70.8648,0.8031,8.7296,-76.9890,66.6593,85.6407,-73.2088,0.8031,250,800,-750,150,700,0,0
27,1787057021.9537,1787057021.9587,0.03336,5.8901,-84.7912,74.6374,83.2527,-81.2747,1.5873,10.9518,-49.7716,37.0243,86.8756,-64.5640,1.2561,10.9518,-74.4396,64.3736,86.8756,-71.0110,1.2561,600,900,-750,50,700,0,0
28,1787057021.9871,1787057021.9918,0.0334,7.0330,-82.2418,72.3516,83.9560,-78.6374,1.5873,13.1354,-41.5560,28.3228,88.2202,-57.1148,1.2795,13.1354,-71.8901,62.0879,88.2202,-68.2857,1.2795,450,900,-800,300,950,0,0
29,1787057022.0205,1787057022.0256,0.03345,7.9121,-79.6044,70.0659,85.3626,-75.6484,1.5873,15.2436,-33.4596,20.4261,90.7276,-47.7196,1.2940,15.2436,-69.2527,59.7143,90.7276,-65.2088,1.2940,150,850,-750,500,1050,0,0
30,1787057022.0539,1787057022.0587,0.03339,10.0220,-77.0549,67.7802,86.5055,-73.2747,1.5873,17.1241,-24.5390,11.7616,92.2771,-39.1894,1.4996,17.1241,-66.7033,57.5165,92.2771,-62.8352,1.4996,700,900,-850,400,900,0,0
31,1787057022.0873,1787057022.0921,0.03333,12.3956,-74.4176,65.4945,88.0000,-70.4615,1.5873,19.0842,-17.9364,4.5399,94.4676,-29.8295,1.2719,19.0842,-64.0659,55.1429,94.4676,-60.1099,1.2719,750,900,-750,550,950,0,0
32,1787057022.1207,1787057022.1256,0.0334,13.7143,-71.8681,63.2088,89.8462,-67.6484,1.5873,21.1687,-10.5787,-1.6633,98.2214,-21.3500,1.3819,21.1687,-61.4286,52.8571,98.2214,-57.2088,1.3819,550,850,-800,650,900,0,0
33,1787057022.1541,1787057022.1596,0.03341,15.7363,-69.2308,60.8352,91.6044,-65.0110,1.5873,23.3187,-5.7233,-6.9037,99.6102,-13.6425,1.5118,23.3187,-58.7912,50.3956,99.6102,-54.6593,1.5118,700,850,-800,550,1000,0,0
34,1787057022.1875,1787057022.1927,0.03339,17.7582,-66.5055,58.4615,93.8022,-62.3736,1.5873,24.6736,-1.1928,-10.4879,100.5019,-7.4747,1.7173,24.6736,-56.1538,48.1099,100.5019,-51.9341,1.7173,700,900,-800,750,900,0,0
35,1787057022.2208,1787057022.2258,0.03337,19.8681,-63.7802,56.2637,96.1758,-59.5604,1.5873,26.1371,2.2318,-14.4130,101.0266,-1.6730,1.8812,26.1371,-53.4286,45.9121,101.0266,-49.2088,1.8812,700,950,-750,850,950,0,0
36,1787057022.2542,1787057022.259,0.03338,21.6264,-61.1429,53.8901,97.9341,-56.8352,1.5873,27.0928,4.4062,-14.9417,101.1438,2.3449,2.1586,27.0928,-50.8791,43.5385,101.1438,-46.4835,2.1586,600,900,-800,650,900,0,0
37,1787057022.2876,1787057022.2925,0.03339,23.3846,-58.5055,51.5165,98.9890,-54.1099,1.5873,28.6396,6.7504,-16.8824,100.2254,5.0332,2.1687,28.6396,-48.0659,41.2527,100.2254,-43.7582,2.1687,600,900,-750,350,950,0,0
38,1787057022.321,1787057022.3258,0.0334,24.6154,-55.7802,49.2308,99.3407,-51.3846,1.7857,29.4633,8.2019,-17.4031,100.0419,6.2472,2.4716,29.4633,-45.3407,38.8791,100.0419,-40.9451,2.4716,450,950,-800,100,950,100,0
39,1787057022.3544,1787057022.3593,0.03338,25.9341,-53.1429,46.8571,99.5165,-48.5714,1.9180,30.3353,8.7026,-17.7910,98.7249,7.5180,2.5693,30.3353,-42.7912,36.5055,98.7249,-38.3077,2.5693,400,900,-800,100,900,100,0
40,1787057022.3878,1787057022.3926,0.0334,27.2527,-50.3297,44.5714,99.5165,-45.9341,2.0503,31.0850,10.5982,-17.1910,97.7485,8.1242,2.5241,31.0850,-39.8901,34.2198,97.7485,-35.4945,2.5241,450,900,-850,0,900,100,0
41,1787057022.4212,1787057022.426,0.03342,28.7473,-47.3407,42.1978,99.3407,-43.1209,2.2487,32.1113,10.4911,-17.7946,97.5008,8.2572,2.6330,32.1113,-36.9890,31.8462,97.5008,-32.7692,2.6330,450,1000,-800,-50,900,50,0
42,1787057022.4546,1787057022.4595,0.0334,29.6264,-44.7033,39.7363,98.6374,-40.3956,2.3148,32.5900,11.9783,-17.8006,97.2775,8.1424,2.5210,32.5900,-34.2637,29.5604,97.2775,-30.0440,2.5210,300,950,-800,-200,950,50,0
43,1787057022.4879,1787057022.4924,0.03336,30.2418,-41.8022,37.3626,98.1978,-37.6703,2.3148,32.8789,12.8157,-18.2470,95.6424,7.1276,3.0635,32.8789,-31.5385,27.0989,95.6424,-27.3187,3.0635,200,900,-800,-150,900,0,0
