step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
22,1787057992.3574,1787057992.3614,0.03341,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.5784,-97.4757,98.4095,77.6104,-88.0335,2.3787,0.5784,-97.4757,98.4095,77.6104,-88.0335,2.3787,0,0,0,0,0,0,0
23,1787057992.3908,1787057992.3949,0.03338,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.5678,-97.4919,98.2502,77.5978,-87.9888,2.4015,0.5678,-97.4919,98.2502,77.5978,-87.9888,2.4015,0,0,0,0,0,0,0
24,1787057992.4242,1787057992.4283,0.03344,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.5686,-97.7888,98.5890,77.6532,-88.0721,2.4061,0.5686,-97.7888,98.5890,77.6532,-88.0721,2.4061,0,0,0,0,0,0,0
25,1787057992.4575,1787057992.4617,0.03332,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.6231,-97.6076,98.4581,77.6766,-87.9254,2.4250,0.6231,-97.6076,98.4581,77.6766,-87.9254,2.4250,0,0,0,0,0,0,0
26,1787057992.4909,1787057992.495,0.0334,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.5938,-97.5062,98.3744,77.6264,-87.8795,2.4010,0.5938,-97.5062,98.3744,77.6264,-87.8795,2.4010,0,0,0,0,0,0,0
27,1787057992.5243,1787057992.5285,0.03342,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.6448,-97.5094,98.5473,77.6120,-87.8410,2.4260,0.6448,-97.5094,98.5473,77.6120,-87.8410,2.4260,0,0,0,0,0,0,0
28,1787057992.5577,1787057992.5618,0.03334,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.6249,-97.4019,98.3507,77.6474,-87.9325,2.3983,0.6249,-97.4019,98.3507,77.6474,-87.9325,2.3983,0,0,0,0,0,0,0
29,1787057992.5911,1787057992.5952,0.03341,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.6459,-97.4560,98.3978,77.6500,-87.9462,2.4618,0.6459,-97.4560,98.3978,77.6500,-87.9462,2.4618,0,0,0,0,0,0,0
30,1787057992.6245,1787057992.6286,0.03338,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.6891,-97.5177,98.6151,77.7461,-87.9438,2.4486,0.6891,-97.5177,98.6151,77.7461,-87.9438,2.4486,0,0,0,0,0,0,0
31,1787057992.6578,1787057992.662,0.0334,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.6578,-97.5579,98.6601,77.7113,-88.0075,2.4460,0.6578,-97.5579,98.6601,77.7113,-88.0075,2.4460,0,0,0,0,0,0,0
