step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786708358.3545,1786708358.8466,0.44514,-0.0879,-96.6593,96.7033,73.5824,-86.9890,3.7037,-0.1442,-95.9881,97.8335,74.2555,-87.1031,4.0694,-0.1442,-95.9881,97.8335,74.2555,-87.1031,4.0694,0,0,0,0,0,0,1
1,1786708358.8477,1786708358.8527,0.49325,-0.0879,-96.6593,96.7033,73.5824,-86.9890,3.7037,-0.1370,-96.1379,97.7580,74.3675,-87.1895,4.0646,-0.1370,-96.1379,97.7580,74.3675,-87.1895,4.0646,0,0,0,0,0,0,1
2,1786708358.8815,1786708358.8864,0.03381,-0.0879,-96.6593,96.7033,73.5824,-86.9890,3.7037,-0.1320,-96.0348,98.0802,74.5442,-87.3504,4.0236,-0.1320,-96.0348,98.0802,74.5442,-87.3504,4.0236,0,0,0,0,0,0,0
3,1786708358.9145,1786708358.919,0.03299,-0.0879,-96.5714,96.8791,73.8462,-86.9890,3.7037,-0.2366,-96.3659,98.2130,74.4827,-87.3810,3.9893,-0.2366,-96.3659,98.2130,74.4827,-87.3810,3.9893,0,0,100,100,0,0,0
4,1786708358.9478,1786708358.9524,0.03335,-0.0879,-96.4835,97.1429,74.1099,-86.9890,3.7698,-0.1026,-96.3908,97.9776,74.6805,-87.4620,3.9820,-0.1026,-96.3908,97.9776,74.6805,-87.4620,3.9820,0,0,100,100,0,0,0
5,1786708358.9813,1786708358.986,0.03341,-0.0879,-96.4835,97.1429,74.1099,-86.9890,3.7698,-0.2821,-96.4575,97.9241,74.7193,-87.3814,3.9810,-0.2821,-96.4575,97.9241,74.7193,-87.3814,3.9810,0,0,0,0,0,0,0
6,1786708359.0146,1786708359.019,0.03339,-0.0879,-96.4835,97.1429,74.1978,-87.2527,3.7698,-0.1742,-96.4405,97.9236,74.7952,-87.5809,3.9544,-0.1742,-96.4405,97.9236,74.7952,-87.5809,3.9544,0,0,0,50,-50,0,0
7,1786708359.048,1786708359.0522,0.03336,-0.0879,-96.4835,97.1429,74.1978,-87.3407,3.7698,-0.2346,-96.4294,97.7539,74.8751,-87.3473,3.9829,-0.2346,-96.4294,97.7539,74.8751,-87.3473,3.9829,0,0,0,0,0,0,0
8,1786708359.0814,1786708359.0861,0.0334,-0.0879,-96.4835,97.1429,74.4615,-87.3407,3.7698,-0.1908,-96.4774,97.7540,74.8304,-87.4045,3.9653,-0.1908,-96.4774,97.7540,74.8304,-87.4045,3.9653,0,0,0,100,0,0,0
9,1786708359.1149,1786708359.1193,0.03346,-0.0879,-96.4835,97.1429,74.5495,-87.3407,3.7698,-0.2142,-96.4793,97.7665,74.8764,-87.5083,3.9997,-0.2142,-96.4793,97.7665,74.8764,-87.5083,3.9997,0,0,0,50,0,0,0
10,1786708359.1482,1786708359.1525,0.03337,-0.0879,-96.4835,97.1429,74.5495,-87.3407,3.7698,-0.1881,-96.5213,97.6154,74.9333,-87.5908,4.0374,-0.1881,-96.5213,97.6154,74.9333,-87.5908,4.0374,0,0,0,0,0,0,0
11,1786708359.1816,1786708359.1868,0.03334,-0.0879,-96.4835,97.1429,74.5495,-87.3407,3.7698,-0.2211,-96.3497,97.5244,74.8693,-87.4783,4.0218,-0.2211,-96.3497,97.5244,74.8693,-87.4783,4.0218,0,0,0,0,0,0,0
12,1786708359.215,1786708359.2192,0.03338,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1630,-96.5519,97.7537,74.8509,-87.5968,4.0130,-0.1630,-96.5519,97.7537,74.8509,-87.5968,4.0130,0,0,0,0,0,0,0
13,1786708359.2484,1786708359.2526,0.03341,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1832,-96.6261,97.7441,74.9839,-87.5847,4.0339,-0.1832,-96.6261,97.7441,74.9839,-87.5847,4.0339,0,0,0,0,0,0,0
14,1786708359.2817,1786708359.2859,0.03338,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1883,-96.6122,97.6077,75.0398,-87.6888,4.0472,-0.1883,-96.6122,97.6077,75.0398,-87.6888,4.0472,0,0,0,0,0,0,0
15,1786708359.3152,1786708359.3196,0.03341,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1588,-96.7474,97.6220,75.0289,-87.8180,4.0175,-0.1588,-96.7474,97.6220,75.0289,-87.8180,4.0175,0,0,0,0,0,0,0
16,1786708359.3485,1786708359.3527,0.03337,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1507,-96.7437,97.4527,75.0293,-87.7606,4.0533,-0.1507,-96.7437,97.4527,75.0293,-87.7606,4.0533,0,0,0,0,0,0,0
17,1786708359.3819,1786708359.3862,0.0334,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1518,-96.4620,97.5028,74.9584,-87.7558,4.0610,-0.1518,-96.4620,97.5028,74.9584,-87.7558,4.0610,0,0,0,0,0,0,0
18,1786708359.4154,1786708359.4195,0.03343,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1699,-96.5742,97.4359,74.9818,-87.7147,4.0752,-0.1699,-96.5742,97.4359,74.9818,-87.7147,4.0752,0,0,0,0,0,0,0
19,1786708359.4487,1786708359.4527,0.03334,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1271,-96.5021,97.4023,74.9503,-87.6898,4.0277,-0.1271,-96.5021,97.4023,74.9503,-87.6898,4.0277,0,0,0,0,0,0,0
20,1786708359.4821,1786708359.487,0.03341,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1410,-96.6657,97.4680,74.9754,-87.6972,4.0586,-0.1410,-96.6657,97.4680,74.9754,-87.6972,4.0586,0,0,0,0,0,0,0
21,1786708359.5155,1786708359.5198,0.03336,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1735,-96.8176,97.4914,74.9115,-87.7046,4.0141,-0.1735,-96.8176,97.4914,74.9115,-87.7046,4.0141,0,0,0,0,0,0,0
22,1786708359.5488,1786708359.5529,0.03332,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.2333,-96.5353,97.2522,75.0298,-87.5823,4.0415,-0.2333,-96.5353,97.2522,75.0298,-87.5823,4.0415,0,0,0,0,0,0,0
23,1786708359.5822,1786708359.5864,0.03341,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.2131,-96.7626,97.5243,75.0660,-87.6916,4.1318,-0.2131,-96.7626,97.5243,75.0660,-87.6916,4.1318,0,0,0,0,0,0,0
24,1786708359.6156,1786708359.6197,0.03336,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.1366,-96.7171,97.3967,75.0441,-87.6185,4.0700,-0.1366,-96.7171,97.3967,75.0441,-87.6185,4.0700,0,0,0,0,0,0,0
25,1786708359.649,1786708359.653,0.03338,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.2339,-96.8106,97.4746,75.0274,-87.7512,4.0399,-0.2339,-96.8106,97.4746,75.0274,-87.7512,4.0399,0,0,0,0,0,0,0
26,1786708359.6824,1786708359.6865,0.03341,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.2476,-96.8068,97.6197,75.0890,-87.6236,4.0118,-0.2476,-96.8068,97.6197,75.0890,-87.6236,4.0118,0,0,0,0,0,0,0
27,1786708359.7157,1786708359.7202,0.03339,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.2315,-96.9131,97.4321,75.1939,-87.6107,4.0060,-0.2315,-96.9131,97.4321,75.1939,-87.6107,4.0060,0,0,0,0,0,0,0
28,1786708359.7491,1786708359.7534,0.0334,-0.0879,-96.4835,97.1429,74.6374,-87.3407,3.7698,-0.2017,-96.8168,97.3776,75.0557,-87.5733,4.0375,-0.2017,-96.8168,97.3776,75.0557,-87.5733,4.0375,0,0,0,0,0,0,0
29,1786708359.7825,1786708359.7867,0.0334,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.3448,-96.9675,97.4042,75.1353,-87.6088,4.0097,-0.3448,-96.9675,97.4042,75.1353,-87.6088,4.0097,0,0,0,0,0,0,0
30,1786708359.8159,1786708359.82,0.03334,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.1982,-96.9275,97.3089,75.1553,-87.5505,4.0381,-0.1982,-96.9275,97.3089,75.1553,-87.5505,4.0381,0,0,0,0,0,0,0
31,1786708359.8493,1786708359.8535,0.03343,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.2360,-97.0599,97.5755,75.1495,-87.4306,4.0157,-0.2360,-97.0599,97.5755,75.1495,-87.4306,4.0157,0,0,0,0,0,0,0
32,1786708359.8827,1786708359.8868,0.03337,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.2130,-97.0220,97.7368,75.0965,-87.5747,3.9828,-0.2130,-97.0220,97.7368,75.0965,-87.5747,3.9828,0,0,0,0,0,0,0
33,1786708359.9161,1786708359.9201,0.03338,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.2334,-96.9716,97.8153,75.1775,-87.4989,3.9965,-0.2334,-96.9716,97.8153,75.1775,-87.4989,3.9965,0,0,0,0,0,0,0
34,1786708359.9495,1786708359.9538,0.03342,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.1980,-97.0627,97.8464,75.0680,-87.5248,3.9470,-0.1980,-97.0627,97.8464,75.0680,-87.5248,3.9470,0,0,0,0,0,0,0
35,1786708359.9829,1786708359.9871,0.03338,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.1919,-96.9805,97.7517,75.1114,-87.4402,3.9525,-0.1919,-96.9805,97.7517,75.1114,-87.4402,3.9525,0,0,0,0,0,0,0
36,1786708360.0162,1786708360.0204,0.03336,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.2626,-96.8686,97.4740,75.0373,-87.5294,4.0631,-0.2626,-96.8686,97.4740,75.0373,-87.5294,4.0631,0,0,0,0,0,0,0
37,1786708360.0496,1786708360.0537,0.03337,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.2087,-96.9191,97.6490,75.1208,-87.4930,3.9963,-0.2087,-96.9191,97.6490,75.1208,-87.4930,3.9963,0,0,0,0,0,0,0
38,1786708360.083,1786708360.0871,0.0334,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.2058,-96.9159,97.7968,75.1070,-87.4838,4.0106,-0.2058,-96.9159,97.7968,75.1070,-87.4838,4.0106,0,0,0,0,0,0,0
39,1786708360.1164,1786708360.1205,0.03337,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.2087,-96.8825,97.7798,75.0315,-87.4998,4.0036,-0.2087,-96.8825,97.7798,75.0315,-87.4998,4.0036,0,0,0,0,0,0,0
40,1786708360.1498,1786708360.1541,0.03344,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.2344,-96.9747,97.8074,74.9951,-87.4469,4.0151,-0.2344,-96.9747,97.8074,74.9951,-87.4469,4.0151,0,0,0,0,0,0,0
41,1786708360.1832,1786708360.1874,0.03338,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.1631,-96.9226,97.7597,74.9869,-87.5531,3.9872,-0.1631,-96.9226,97.7597,74.9869,-87.5531,3.9872,0,0,0,0,0,0,0
42,1786708360.2166,1786708360.2207,0.03336,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.1889,-96.9429,97.6566,75.0277,-87.3588,4.0383,-0.1889,-96.9429,97.6566,75.0277,-87.3588,4.0383,0,0,0,0,0,0,0
43,1786708360.25,1786708360.2543,0.03342,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.1005,-97.0491,98.0151,75.0513,-87.4314,4.0371,-0.1005,-97.0491,98.0151,75.0513,-87.4314,4.0371,0,0,0,0,0,0,0
44,1786708360.2834,1786708360.2876,0.03341,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.1781,-97.0850,97.5389,75.0245,-87.3237,4.0511,-0.1781,-97.0850,97.5389,75.0245,-87.3237,4.0511,0,0,0,0,0,0,0
45,1786708360.3167,1786708360.3208,0.03334,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.1189,-97.0430,97.5870,75.0503,-87.5759,4.0560,-0.1189,-97.0430,97.5870,75.0503,-87.5759,4.0560,0,0,0,0,0,0,0
46,1786708360.3501,1786708360.3545,0.03338,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.0956,-97.1856,97.7534,75.0235,-87.5707,4.0574,-0.0956,-97.1856,97.7534,75.0235,-87.5707,4.0574,0,0,0,0,0,0,0
47,1786708360.3835,1786708360.3876,0.03339,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,-0.1235,-97.0651,97.3110,75.1633,-87.5723,4.0906,-0.1235,-97.0651,97.3110,75.1633,-87.5723,4.0906,0,0,0,0,0,0,0
48,1786708360.4169,1786708360.4225,0.03338,-0.0879,-96.4835,97.1429,74.7253,-87.3407,3.7698,0.1073,-97.1471,97.1482,75.3543,-87.5553,4.1411,0.1073,-97.1471,97.1482,75.3543,-87.5553,4.1411,0,0,0,0,0,0,0
49,1786708360.4503,1786708360.4546,0.03343,-0.0879,-96.4835,97.0549,74.7253,-87.3407,3.7698,-0.0509,-97.3318,97.4375,75.1702,-87.5567,4.1318,-0.0509,-97.3318,97.4375,75.1702,-87.5567,4.1318,0,0,0,0,0,0,0
50,1786708360.4837,1786708360.7008,0.03338,-0.0879,-96.5714,97.0549,74.9011,-87.3407,3.7698,-0.2780,-94.0231,96.5757,74.8802,-87.7792,4.1396,-0.2780,-94.0231,96.5757,74.8802,-87.7792,4.1396,0,-50,-50,50,0,0,1
