step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786708673.04,1786708673.3287,1.68132,1.0549,-96.3077,96.7912,74.5495,-84.7033,3.3069,0.8613,-95.8708,97.9423,74.9439,-84.9772,3.0399,0.8613,-95.8708,97.9423,74.9439,-84.9772,3.0399,0,0,0,0,0,0,1
1,1786708673.3298,1786708673.3351,0.28983,1.0549,-96.3077,96.7912,74.5495,-84.7033,3.3069,1.3334,-96.0464,98.1933,75.2329,-83.9237,3.0697,1.3334,-96.0464,98.1933,75.2329,-83.9237,3.0697,0,0,0,0,0,0,1
2,1786708673.3632,1786708673.368,0.03336,1.0549,-96.3077,96.7912,74.5495,-84.7033,3.3069,1.2302,-95.6211,97.6754,75.3629,-84.6690,3.0770,1.2302,-95.6211,97.6754,75.3629,-84.6690,3.0770,0,0,0,0,0,0,0
3,1786708673.3966,1786708673.401,0.0334,1.0549,-96.3077,96.9670,74.7253,-84.5275,3.3069,1.1972,-96.1494,98.0160,75.7336,-83.8363,3.0698,1.1972,-96.1494,98.0160,75.7336,-83.8363,3.0698,0,0,100,50,50,0,0
4,1786708673.43,1786708673.4341,0.03337,1.0549,-96.3077,97.0549,74.9890,-84.5275,3.3069,1.7278,-96.2983,98.5763,75.0129,-84.0472,2.9503,1.7278,-96.2983,98.5763,75.0129,-84.0472,2.9503,0,0,50,100,50,0,0
5,1786708673.4634,1786708673.468,0.03339,1.0549,-96.3956,97.0549,75.1648,-84.5275,3.3069,1.4271,-95.9325,98.1499,75.7055,-84.1307,2.9583,1.4271,-95.9325,98.1499,75.7055,-84.1307,2.9583,0,-50,0,50,0,0,0
6,1786708673.4968,1786708673.5012,0.03341,1.0549,-96.3956,97.1429,75.1648,-84.5275,3.3069,1.8360,-95.3757,98.4105,75.7596,-84.9512,3.0560,1.8360,-95.3757,98.4105,75.7596,-84.9512,3.0560,0,0,50,0,0,0,0
7,1786708673.5301,1786708673.535,0.03337,1.0549,-96.3077,97.1429,75.3407,-84.4396,3.2407,0.9712,-95.6037,98.3168,75.2304,-84.1319,3.1064,0.9712,-95.6037,98.3168,75.2304,-84.1319,3.1064,0,0,0,50,50,-50,0
8,1786708673.5635,1786708673.568,0.03337,1.1429,-96.3077,97.1429,75.4286,-84.5275,3.2407,1.7600,-95.3688,97.8844,75.3518,-84.0640,3.2020,1.7600,-95.3688,97.8844,75.3518,-84.0640,3.2020,0,0,0,0,0,0,0
9,1786708673.5969,1786708673.6011,0.0334,1.2308,-96.1319,97.1429,75.3407,-84.6154,3.2407,1.6174,-95.8979,97.9698,75.5666,-83.7721,3.2584,1.6174,-95.8979,97.9698,75.5666,-83.7721,3.2584,50,50,0,-50,50,0,0
10,1786708673.6303,1786708673.635,0.0334,1.2308,-96.1319,97.1429,75.3407,-84.2637,3.2407,1.3912,-95.2054,97.9953,74.6619,-84.4124,3.2613,1.3912,-95.2054,97.9953,74.6619,-84.4124,3.2613,0,0,0,0,150,0,0
11,1786708673.6638,1786708673.668,0.03349,1.3187,-96.2198,97.1429,75.3407,-84.2637,3.2407,1.6306,-95.1998,97.3917,75.1261,-85.0290,3.1351,1.6306,-95.1998,97.3917,75.1261,-85.0290,3.1351,0,-50,0,0,0,0,0
