step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786707949.1141,1786707949.3953,0.2099,1.1429,-93.0549,96.9670,72.1758,-88.1319,2.9101,1.8427,-92.5037,97.8102,72.3752,-86.7784,2.5847,1.8427,-92.5037,97.8102,72.3752,-86.7784,2.5847,0,0,0,0,0,0,1
1,1786707949.3965,1786707949.4026,0.2824,1.1429,-93.0549,96.9670,72.1758,-88.1319,2.9101,2.0985,-93.3215,99.4318,71.9370,-89.2975,2.6634,2.0985,-93.3215,99.4318,71.9370,-89.2975,2.6634,0,0,0,0,0,0,1
2,1786707949.4298,1786707949.4347,0.03331,1.1429,-93.0549,96.9670,72.1758,-88.1319,2.9101,1.5881,-94.4074,99.0301,73.2884,-89.6439,2.5995,1.5881,-94.4074,99.0301,73.2884,-89.6439,2.5995,0,0,0,0,0,0,0
3,1786707949.4633,1786707949.468,0.03344,1.1429,-93.1429,97.2308,72.1758,-88.2198,2.9101,2.6174,-93.7496,101.3381,70.9240,-86.7170,2.4073,2.6174,-93.7496,101.3381,70.9240,-86.7170,2.4073,0,0,50,0,0,0,0
4,1786707949.4966,1786707949.5012,0.03338,1.1429,-93.6703,97.3187,72.6154,-88.9231,2.9101,1.2262,-94.1022,98.9015,72.3457,-87.1062,2.5591,1.2262,-94.1022,98.9015,72.3457,-87.1062,2.5591,0,-200,0,150,-250,0,0
5,1786707949.53,1786707949.5345,0.03337,1.4945,-93.7582,97.3187,72.7033,-88.5714,2.7778,2.0019,-92.8988,99.4582,72.5399,-87.4971,2.4052,2.0019,-92.8988,99.4582,72.5399,-87.4971,2.4052,100,-50,0,0,250,-100,0
6,1786707949.5634,1786707949.5677,0.03339,1.8462,-93.7582,97.3187,72.6154,-87.9560,2.7778,2.1068,-92.4043,99.5597,71.3195,-88.7315,2.7245,2.1068,-92.4043,99.5597,71.3195,-88.7315,2.7245,50,50,0,-50,250,0,0
7,1786707949.5968,1786707949.6017,0.03337,1.1429,-93.5824,97.3187,72.6154,-87.9560,2.7778,1.0960,-92.0244,97.0299,72.5119,-87.4630,2.4132,1.0960,-92.0244,97.0299,72.5119,-87.4630,2.4132,-250,0,0,0,-50,0,0
8,1786707949.6302,1786707949.6345,0.0334,1.4066,-93.1429,97.3187,72.1758,-88.3077,2.7778,2.3193,-92.3224,97.2209,73.2334,-88.2617,2.3730,2.3193,-92.3224,97.2209,73.2334,-88.2617,2.3730,100,150,0,-200,-150,0,0
9,1786707949.6635,1786707949.6677,0.03337,1.5824,-92.9670,97.2308,72.0879,-88.3956,2.6455,1.3607,-92.2928,98.5075,73.8746,-87.7094,2.5534,1.3607,-92.2928,98.5075,73.8746,-87.7094,2.5534,0,50,0,-100,-150,-100,0
