step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786708464.5372,1786708464.897,0.43122,0.7033,-95.9560,95.8242,73.1429,-86.0220,3.9683,1.1969,-95.9010,96.2361,73.7060,-85.8263,3.8947,1.1969,-95.9010,96.2361,73.7060,-85.8263,3.8947,0,0,0,0,0,0,1
1,1786708464.8981,1786708464.9037,0.3609,0.7033,-95.9560,95.8242,73.1429,-86.0220,3.9683,1.2785,-95.9837,95.9443,73.6733,-86.2939,3.8856,1.2785,-95.9837,95.9443,73.6733,-86.2939,3.8856,0,0,0,0,0,0,1
2,1786708464.9315,1786708464.9363,0.03339,0.7033,-95.9560,95.8242,73.1429,-86.0220,3.9683,1.4007,-96.2127,95.9966,73.6925,-86.4859,3.9198,1.4007,-96.2127,95.9966,73.6925,-86.4859,3.9198,0,0,0,0,0,0,0
3,1786708464.9648,1786708464.9696,0.03332,0.7033,-95.9560,95.8242,73.3187,-86.0220,3.9683,1.4674,-96.4022,95.7301,73.9397,-86.3425,3.9062,1.4674,-96.4022,95.7301,73.9397,-86.3425,3.9062,0,0,0,50,0,0,0
4,1786708464.9982,1786708465.0028,0.03345,0.7912,-95.9560,95.8242,73.4945,-86.1978,3.9683,1.3747,-96.3747,95.6049,73.8880,-86.2646,3.8727,1.3747,-96.3747,95.6049,73.8880,-86.2646,3.8727,0,0,0,100,-100,0,0
5,1786708465.0316,1786708465.0367,0.03335,0.8791,-96.0440,95.8242,73.6703,-86.1978,3.9683,1.9922,-96.5405,95.4474,74.1227,-86.3182,3.9673,1.9922,-96.5405,95.4474,74.1227,-86.3182,3.9673,50,-50,0,50,0,0,0
6,1786708465.065,1786708465.0697,0.03339,1.0549,-96.0440,95.7363,73.6703,-86.1978,3.9021,1.5894,-96.5764,95.4211,74.2901,-85.9765,3.9605,1.5894,-96.5764,95.4211,74.2901,-85.9765,3.9605,50,0,0,0,0,-50,0
7,1786708465.0983,1786708465.103,0.03336,1.1429,-96.1319,95.7363,73.6703,-86.1978,3.9021,1.7635,-96.6245,95.1786,74.4268,-85.8503,4.0114,1.7635,-96.6245,95.1786,74.4268,-85.8503,4.0114,50,0,0,0,0,0,0
8,1786708465.1318,1786708465.1366,0.0334,1.2308,-96.3077,95.7363,73.9341,-86.1978,3.9683,1.6540,-96.2121,94.9792,74.3905,-85.5700,3.8890,1.6540,-96.2121,94.9792,74.3905,-85.5700,3.8890,50,-50,0,100,0,50,0
9,1786708465.1651,1786708465.1697,0.03334,1.2308,-96.3956,95.7363,74.1099,-86.1978,3.9683,1.6531,-96.4082,94.4618,74.6753,-85.4809,3.9458,1.6531,-96.4082,94.4618,74.6753,-85.4809,3.9458,0,0,0,0,0,0,0
10,1786708465.1985,1786708465.2031,0.03341,1.2308,-96.3956,95.6484,74.1099,-86.1099,3.9683,1.6945,-96.2601,94.2454,74.6457,-85.3349,3.8791,1.6945,-96.2601,94.2454,74.6457,-85.3349,3.8791,0,0,0,0,0,0,0
11,1786708465.2319,1786708465.2366,0.03337,1.2308,-96.3956,95.4725,74.1978,-85.9341,3.9683,1.5504,-96.3807,94.4265,74.7721,-85.3246,3.9279,1.5504,-96.3807,94.4265,74.7721,-85.3246,3.9279,0,0,-50,50,50,0,0
12,1786708465.2653,1786708465.2701,0.03341,1.2308,-96.3956,95.3846,74.1978,-85.8462,3.9683,1.8106,-96.8449,94.2479,74.9767,-84.8733,3.9285,1.8106,-96.8449,94.2479,74.9767,-84.8733,3.9285,0,0,-50,0,50,0,0
13,1786708465.2987,1786708465.3033,0.03337,1.2308,-96.4835,95.3846,74.3736,-85.8462,3.9683,1.5047,-96.6012,94.1630,75.0623,-84.9748,3.8938,1.5047,-96.6012,94.1630,75.0623,-84.9748,3.8938,0,-50,0,100,0,0,0
14,1786708465.332,1786708465.3367,0.03337,1.3187,-96.5714,95.3846,74.5495,-85.6703,3.9683,1.7984,-96.7287,93.8980,75.3615,-85.2411,3.9044,1.7984,-96.7287,93.8980,75.3615,-85.2411,3.9044,50,-50,0,50,50,0,0
15,1786708465.3655,1786708465.3701,0.03346,1.3187,-96.4835,95.3846,74.6374,-85.4066,3.9683,1.6376,-96.4093,93.4618,75.2078,-85.0293,3.9125,1.6376,-96.4093,93.4618,75.2078,-85.0293,3.9125,0,50,0,50,150,0,0
16,1786708465.3988,1786708465.4037,0.03337,1.3187,-96.4835,95.3846,74.8132,-85.4066,3.9683,1.4947,-96.7684,93.8126,75.2106,-84.7884,3.9037,1.4947,-96.7684,93.8126,75.2106,-84.7884,3.9037,0,0,0,100,0,0,0
17,1786708465.4322,1786708465.4369,0.0334,1.4066,-96.4835,95.2967,74.8132,-85.3187,3.9683,1.3249,-96.9387,93.5720,75.4450,-84.8707,3.9106,1.3249,-96.9387,93.5720,75.4450,-84.8707,3.9106,50,0,-50,0,50,0,0
